image_id,question_score
5_A watermelon slice._0.png,0
5_A watermelon slice._1.png,0
5_A watermelon slice._2.png,0
5_A watermelon slice._3.png,0.25
5_A watermelon slice._4.png,0
5_A scooter._0.png,0.25
5_A scooter._1.png,0.5
5_A scooter._2.png,0.5
5_A scooter._3.png,0.25
coco_494732_stable_diffusion_v2_1.jpg,0.8
6_A man in a green suit leaning over._0.png,0.6
6_A man in a green suit leaning over._3.png,0.6
6_A man in a green suit leaning over._4.png,0.6
6_A man leaning over a laptop._0.png,0.6
6_A man leaning over a laptop._1.png,0.6
6_A man leaning over a laptop._2.png,0.6
6_A man leaning over a laptop._4.png,0.6
6_A green suit._1.png,0.6
6_A green suit._2.png,0.6
6_A green suit._3.png,0.6
6_A green suit._4.png,0.6
6_A man leaning over._0.png,0.2
6_A man leaning over._1.png,0.6
6_A man leaning over._3.png,0.4
6_A man leaning over._4.png,0.4
6_A laptop._1.png,0.4
6_A laptop._2.png,0.2
6_A laptop._3.png,0.4
6_A laptop._4.png,0.2
coco_492730_stable_diffusion_v2_1.jpg,1
7_A woman on top of a tennis court._0.png,1
7_A woman on top of a tennis court._1.png,1
7_A woman on top of a tennis court._2.png,1
7_A woman on top of a tennis court._3.png,1
7_A woman on top of a tennis court._4.png,1
7_A woman holding a racquet._0.png,0.6
7_A woman holding a racquet._1.png,1
7_A woman holding a racquet._2.png,0.6
7_A woman holding a racquet._3.png,0.6
7_A woman holding a racquet._4.png,1
7_A racquet in a tennis court._0.png,0.6
7_A racquet in a tennis court._1.png,0.8
7_A racquet in a tennis court._2.png,0.6
7_A racquet in a tennis court._3.png,0.8
7_A racquet in a tennis court._4.png,0.8
7_A tennis court._0.png,0.8
7_A tennis court._1.png,0.4
7_A tennis court._2.png,1
7_A tennis court._3.png,0.6
7_A tennis court._4.png,0.8
7_A woman._0.png,0.2
7_A woman._2.png,0.2
7_A woman._3.png,0.2
7_A racquet._0.png,0.4
7_A racquet._1.png,0.6
7_A racquet._2.png,0.4
7_A racquet._3.png,0.2
7_A racquet._4.png,0.6
8_two laptops a mouse cords wires and a monitor_0.png,0.8
"8_Two laptops, a mouse, cords, and a monitor._2.png",1
"8_Two laptops, a mouse, cords, and a monitor._3.png",1
"8_Two laptops, cords, wires, and a monitor._2.png",0.8
"8_Two laptops, cords, wires, and a monitor._3.png",1
"8_Two laptops, a mouse, cords, and wires._2.png",0.8
"8_Two laptops, a mouse, cords, and wires._4.png",0.8
"8_Two laptops, a mouse, and a monitor._2.png",0.6
"8_Two laptops, cords, and wires._0.png",0.6
"8_Two laptops, cords, and wires._1.png",0.6
"8_Two laptops, cords, and wires._2.png",0.8
"8_Two laptops, cords, and wires._3.png",0.6
"8_Two laptops, cords, and wires._4.png",0.6
"8_Two laptops, a mouse, and wires._0.png",0.6
"8_Two laptops, a mouse, and wires._1.png",0.8
"8_Two laptops, a mouse, and wires._2.png",1
"8_Two laptops, cords, and a monitor._2.png",1
"8_Two laptops, cords, and a monitor._3.png",1
"8_Two laptops, a mouse, and cords._2.png",0.8
"8_Two laptops, a mouse, and cords._3.png",0.8
"8_Two laptops, a mouse, and cords._4.png",0.8
"8_Two laptops, and a monitor._0.png",0.8
"8_Two laptops, and a monitor._2.png",0.4
"8_Two laptops, and a monitor._3.png",0.6
"8_Two laptops, and a monitor._4.png",0.6
"8_Two laptops, and wires._0.png",0.8
"8_Two laptops, and wires._1.png",0.8
"8_Two laptops, and wires._2.png",0.6
"8_Two laptops, and wires._3.png",0.6
"8_Two laptops, and wires._4.png",0.6
"8_Two laptops, and cords._0.png",0.6
"8_Two laptops, and cords._2.png",0.6
"8_Two laptops, and cords._3.png",0.8
"8_Two laptops, and cords._4.png",0.6
8_Two laptops._0.png,0.4
8_Two laptops._1.png,0.2
8_Two laptops._2.png,0.2
8_Two laptops._3.png,0.4
8_Two laptops._4.png,0.2
8_A mouse._0.png,0.4
8_A mouse._1.png,0.2
8_A mouse._2.png,0.2
8_A mouse._3.png,0.2
8_A mouse._4.png,0.2
8_Cords._0.png,0.2
8_Cords._1.png,0.4
8_Cords._2.png,0.2
8_Cords._3.png,0.2
8_Cords._4.png,0.4
8_A monitor._0.png,0.8
8_A monitor._1.png,0.2
8_A monitor._2.png,0.4
8_A monitor._3.png,0.8
8_A monitor._4.png,0.8
coco_98071_stable_diffusion_v2_1.jpg,0.8571428571
9_A young man in a suit with a beer in his hand._0.png,0.7142857143
9_A young man in a suit with a beer in his hand._1.png,1
9_A young man in a suit with a beer in his hand._2.png,1
9_A young man in a suit with a beer in his hand._4.png,0.8571428571
9_A young man in a tie with a beer in his hand._0.png,1
9_A young man in a tie with a beer in his hand._1.png,0.7142857143
9_A young man in a tie with a beer in his hand._2.png,0.8571428571
9_A young man in a tie with a beer in his hand._3.png,1
9_A young man in a tie with a beer in his hand._4.png,1
9_A young man in a suit and tie with a beer._1.png,1
9_A young man in a suit and tie with a beer._4.png,1
9_A young man with a beer in his hand._0.png,0.7142857143
9_A young man with a beer in his hand._1.png,0.5714285714
9_A young man with a beer in his hand._2.png,0.5714285714
9_A young man with a beer in his hand._3.png,0.5714285714
9_A young man with a beer in his hand._4.png,0.5714285714
9_A young man in a suit and tie._0.png,0.7142857143
9_A young man in a suit and tie._1.png,0.7142857143
9_A young man in a suit and tie._2.png,0.7142857143
9_A young man in a suit and tie._3.png,0.7142857143
9_A young man in a suit and tie._4.png,0.7142857143
9_A young man in a suit with a beer._0.png,1
9_A young man in a suit with a beer._2.png,0.8571428571
9_A young man in a suit with a beer._3.png,0.7142857143
9_A young man in a suit with a beer._4.png,0.8571428571
9_A young man in a tie with a beer._0.png,1
9_A young man in a tie with a beer._1.png,0.7142857143
9_A young man in a tie with a beer._2.png,0.7142857143
9_A young man in a tie with a beer._3.png,0.7142857143
9_A young man in a tie with a beer._4.png,1
9_A young man in a suit._0.png,0.7142857143
9_A young man in a suit._1.png,0.8571428571
9_A young man in a suit._2.png,0.7142857143
9_A young man in a suit._3.png,0.7142857143
9_A young man in a suit._4.png,0.7142857143
9_A young man in a tie._0.png,0.7142857143
9_A young man in a tie._1.png,0.7142857143
9_A young man in a tie._2.png,0.7142857143
9_A young man in a tie._3.png,0.7142857143
9_A young man in a tie._4.png,0.7142857143
9_A young man with a beer._0.png,0.7142857143
9_A young man with a beer._1.png,0.5714285714
9_A young man with a beer._2.png,0.5714285714
9_A young man with a beer._3.png,0.5714285714
9_A young man with a beer._4.png,0.5714285714
9_A beer in his hand._0.png,0.4285714286
9_A beer in his hand._1.png,0.5714285714
9_A beer in his hand._2.png,0.4285714286
9_A beer in his hand._3.png,0.4285714286
9_A beer in his hand._4.png,0.4285714286
9_A suit and tie._0.png,0.5714285714
9_A suit and tie._1.png,0.5714285714
9_A suit and tie._3.png,0.5714285714
9_A suit and tie._4.png,0.7142857143
9_A young man._0.png,0.7142857143
9_A young man._1.png,0.2857142857
9_A young man._2.png,0.4285714286
9_A young man._3.png,0.7142857143
9_A young man._4.png,0.4285714286
9_A suit._0.png,0.7142857143
9_A suit._1.png,0.7142857143
9_A suit._2.png,0.7142857143
9_A suit._3.png,0.5714285714
9_A suit._4.png,0.5714285714
9_A tie._3.png,0.4285714286
9_A tie._4.png,0.5714285714
9_A beer._0.png,0.1428571429
9_A beer._1.png,0.2857142857
9_A beer._2.png,0.1428571429
9_A beer._3.png,0
9_A hand._0.png,0.1428571429
9_A hand._1.png,0
9_A hand._2.png,0.1428571429
9_A hand._3.png,0
9_A hand._4.png,0.1428571429
coco_144234_stable_diffusion_v2_1.jpg,1
10_A man is eating a loaded hot dog with people around him in a line._0.png,1
10_A man is eating a loaded hot dog with people around him in a line._1.png,1
10_A man is eating a loaded hot dog with people around him in a line._2.png,1
10_A man is eating a loaded hot dog with people around him in a line._3.png,1
10_A man is eating a loaded hot dog with people around him in a line._4.png,1
10_A man is eating a loaded hot dog with people around him._0.png,1
10_A man is eating a loaded hot dog with people around him._1.png,1
10_A man is eating a loaded hot dog with people around him._2.png,1
10_A man is eating a loaded hot dog with people around him._3.png,1
10_A man is eating a loaded hot dog with people around him._4.png,1
10_A man is eating a loaded hot dog in a line._0.png,1
10_A man is eating a loaded hot dog in a line._3.png,1
10_Eating a loaded hot dog with people around in a line._0.png,1
10_Eating a loaded hot dog with people around in a line._1.png,1
10_Eating a loaded hot dog with people around in a line._2.png,1
10_Eating a loaded hot dog with people around in a line._3.png,1
10_Eating a loaded hot dog with people around in a line._4.png,1
10_A man with people around him in a line._0.png,0.5
10_A man with people around him in a line._1.png,0.5
10_A man with people around him in a line._2.png,0.5
10_A man with people around him in a line._3.png,0.5
10_A man with people around him in a line._4.png,0.5
10_A man is eating a loaded hot dog._0.png,1
10_A man is eating a loaded hot dog._1.png,0.8333333333
10_A man is eating a loaded hot dog._2.png,0.8333333333
10_A man is eating a loaded hot dog._3.png,1
10_A man is eating a loaded hot dog._4.png,1
10_People around him in a line._0.png,0.5
10_People around him in a line._1.png,0.5
10_People around him in a line._2.png,0.3333333333
10_People around him in a line._3.png,0.5
10_People around him in a line._4.png,0.8333333333
10_A man with people around him._0.png,0.5
10_A man with people around him._1.png,0.5
10_A man with people around him._2.png,0.5
10_A man with people around him._3.png,0.5
10_A man with people around him._4.png,0.5
10_A man in a line._0.png,0.3333333333
10_A man in a line._1.png,0.5
10_A man in a line._2.png,0.1666666667
10_A man in a line._4.png,0.3333333333
10_A man is eating._0.png,0.5
10_A man is eating._1.png,0.8333333333
10_A man is eating._2.png,0.5
10_A man is eating._3.png,0.6666666667
10_A man is eating._4.png,0.5
10_Eating a loaded hot dog._2.png,0.6666666667
10_Eating a loaded hot dog._4.png,0.5
10_People._0.png,0.3333333333
10_People._3.png,0.5
10_People._4.png,0.5
coco_680517_stable_diffusion_v2_1.jpg,1
11_A man is surfing._0.png,1
11_A man is surfing._1.png,1
11_A man is surfing._2.png,1
11_A man is surfing._3.png,1
11_A man is surfing._4.png,1
11_A man in a wet suit._0.png,1
11_A man in a wet suit._1.png,0.6666666667
11_A man in a wet suit._2.png,0.6666666667
11_A man in a wet suit._3.png,0.6666666667
11_A man in a wet suit._4.png,0.6666666667
13_A man._3.png,0.5
13_A man._4.png,0.25
coco_292534_stable_diffusion_v2_1.jpg,0.8333333333
12_A red motorcycle._0.png,0.5
12_A red motorcycle._1.png,0.5
12_A red motorcycle._2.png,0.8333333333
12_A red motorcycle._3.png,0.5
12_A red motorcycle._4.png,0.6666666667
12_Paint chipped doors._0.png,0.6666666667
12_Paint chipped doors._1.png,0.8333333333
12_Paint chipped doors._2.png,0.5
12_Paint chipped doors._3.png,0.5
12_Paint chipped doors._4.png,0.8333333333
coco_655658_stable_diffusion_v2_1.jpg,1
13_A man plays on an ocean wave._0.png,0.8
13_A man plays on an ocean wave._1.png,0.8
13_A man plays on an ocean wave._2.png,0.8
13_A man plays on an ocean wave._3.png,1
13_A man plays on an ocean wave._4.png,1
13_A man in a black shirt plays._0.png,0.6
13_A man in a black shirt plays._1.png,0.6
13_A man in a black shirt plays._2.png,0.6
13_A man in a black shirt plays._3.png,0.6
13_A man in a black shirt plays._4.png,0.6
13_A black shirt._1.png,0.2
13_A black shirt._2.png,0.4
13_A black shirt._4.png,0.4
13_An ocean wave._0.png,0.4
13_An ocean wave._1.png,0.4
13_An ocean wave._2.png,0.6
13_An ocean wave._3.png,0.4
13_An ocean wave._4.png,0.6
coco_573015_stable_diffusion_v2_1.jpg,1
14_The people are flying the kites._0.png,1
14_The people are flying the kites._2.png,1
14_The people are flying the kites._3.png,1
14_The people are flying the kites._4.png,1
14_Flying kites in the sky._0.png,0.6666666667
14_Flying kites in the sky._1.png,0.6666666667
14_Flying kites in the sky._2.png,0.6666666667
14_Flying kites in the sky._3.png,0.6666666667
14_Flying kites in the sky._4.png,0.6666666667
14_People._0.png,0.3333333333
14_People._3.png,0.3333333333
14_People._4.png,0.3333333333
14_Kites._0.png,0.6666666667
14_Kites._2.png,0.6666666667
14_Kites._3.png,0.6666666667
14_Kites._4.png,0.6666666667
14_The sky._2.png,0
14_The sky._3.png,0
14_The sky._4.png,0
coco_632032_stable_diffusion_v2_1.jpg,1
15_A large clock hangs from a building._0.png,1
15_A large clock hangs from a building._1.png,1
15_A large clock hangs from a building._2.png,0.75
15_A large clock hangs from a building._3.png,1
15_A large clock hangs from a building._4.png,1
15_A large clock._0.png,0.75
15_A large clock._1.png,0.75
15_A large clock._3.png,1
15_A large clock._4.png,1
15_A building._0.png,0.25
15_A building._1.png,0.25
15_A building._2.png,0.25
15_A building._3.png,0.5
15_A building._4.png,0.25
coco_226941_stable_diffusion_v2_1.jpg,0.5
16_A sheep._0.png,0.25
16_A sheep._1.png,0.25
16_A sheep._2.png,0.25
16_A sheep._3.png,0.25
16_A sheep._4.png,0.25
16_A fence._0.png,0.25
16_A fence._1.png,0.75
16_A fence._2.png,0.75
16_A fence._3.png,0.25
16_A fence._4.png,0.25
coco_138003_stable_diffusion_v2_1.jpg,0.8888888889
17_A male rider on a midsized horse in a field._0.png,0.8888888889
17_A male rider on a midsized horse in a field._1.png,0.7777777778
17_A male rider on a midsized horse in a field._2.png,0.8888888889
17_A male rider on a midsized horse in a field._3.png,0.7777777778
17_A male rider on a midsized horse in a field._4.png,0.7777777778
17_A midsized horse in a field with a woman standing._0.png,0.5555555556
17_A midsized horse in a field with a woman standing._1.png,0.6666666667
17_A midsized horse in a field with a woman standing._2.png,0.6666666667
17_A midsized horse in a field with a woman standing._3.png,0.6666666667
17_A midsized horse in a field with a woman standing._4.png,0.6666666667
17_A male rider in a field with a woman standing._1.png,0.7777777778
17_A male rider standing in a field_0.png,0.6666666667
17_A male rider standing in a field_1.png,0.5555555556
17_A male rider standing in a field_3.png,0.4444444444
17_A male rider standing in a field_4.png,0.5555555556
17_A woman standing in a field._0.png,0.4444444444
17_A woman standing in a field._1.png,0.4444444444
17_A woman standing in a field._2.png,0.3333333333
17_A woman standing in a field._3.png,0.3333333333
17_A woman standing in a field._4.png,0.3333333333
17_A midsized horse in a field._0.png,0.5555555556
17_A midsized horse in a field._1.png,0.3333333333
17_A midsized horse in a field._2.png,0.4444444444
17_A midsized horse in a field._3.png,0.4444444444
17_A midsized horse in a field._4.png,0.4444444444
17_A midsized horse with a woman standing._0.png,0.5555555556
17_A midsized horse with a woman standing._2.png,0.5555555556
17_A midsized horse with a woman standing._3.png,0.4444444444
17_A midsized horse with a woman standing._4.png,0.6666666667
17_a woman._0.png,0.1111111111
17_a woman._2.png,0.1111111111
17_a woman._3.png,0.1111111111
17_A midsized horse._3.png,0.2222222222
17_A field._1.png,0.3333333333
17_A field._4.png,0.6666666667
coco_373633_stable_diffusion_v2_1.jpg,1
18_Black and white photograph of a bed._0.png,0.8
18_Black and white photograph of a bed._1.png,0.8
18_Black and white photograph of a bed._2.png,0.8
18_Black and white photograph of a bed._3.png,0.6
18_Black and white photograph of a bed._4.png,1
18_Black and white photograph with a laptop._0.png,0.4
18_Black and white photograph with a laptop._1.png,0.6
18_Black and white photograph with a laptop._2.png,0.6
18_Black and white photograph with a laptop._3.png,0.6
18_Black and white photograph with a laptop._4.png,0.6
coco_120896_stable_diffusion_v2_1.jpg,1
19_A boy standing in the door._0.png,0.6
19_A boy standing in the door._3.png,0.6
19_A boy standing in the door._4.png,0.6
19_A boy standing by the bus._0.png,0.6
19_A boy standing by the bus._3.png,0.6
19_A boy standing by the bus._4.png,0.4
19_The door of a bus._0.png,0.4
19_The door of a bus._1.png,0.6
19_The door of a bus._4.png,0.6
19_A boy standing._0.png,0.2
19_A boy standing._1.png,0.2
19_A boy standing._2.png,0.2
19_A boy standing._3.png,0.2
19_A boy standing._4.png,0.4
19_A door._0.png,0.2
19_A door._1.png,0.2
19_A door._2.png,0.2
19_A door._3.png,0.2
19_A door._4.png,0.2
19_A bus._0.png,0.2
19_A bus._1.png,0.6
19_A bus._2.png,0.2
19_A bus._3.png,0.8
19_A bus._4.png,0.2
partiprompt_1086_stable_diffusion_v2_1.jpg,0.6666666667
20_a grand piano_0.png,0.3333333333
20_a grand piano_1.png,0.3333333333
20_a grand piano_3.png,0.3333333333
20_a white bench_0.png,0.6666666667
20_a white bench_1.png,0.6666666667
20_a white bench_2.png,0.6666666667
20_a white bench_3.png,0.6666666667
20_a white bench_4.png,0.6666666667
partiprompt_436_stable_diffusion_v2_1.jpg,1
21_a flock of geese_0.png,0.5
21_a flock of geese_1.png,0.5
21_a flock of geese_2.png,0.5
21_a flock of geese_3.png,0.5
21_a flock of geese_4.png,0.5
21_The Alamo_0.png,0.5
21_The Alamo_1.png,0.5
21_The Alamo_2.png,0.5
21_The Alamo_3.png,0.5
21_The Alamo_4.png,0.5
partiprompt_1192_stable_diffusion_v2_1.jpg,0.6666666667
22_a stained glass window_0.png,0.6666666667
22_a stained glass window_1.png,0.6666666667
22_a stained glass window_2.png,0.6666666667
22_a stained glass window_3.png,0.6666666667
22_a stained glass window_4.png,0.6666666667
22_a calm tyrannosaurus rex_0.png,0.6666666667
22_a calm tyrannosaurus rex_1.png,0.3333333333
22_a calm tyrannosaurus rex_3.png,0.3333333333
22_a calm tyrannosaurus rex_4.png,0.6666666667
partiprompt_1412_stable_diffusion_v2_1.jpg,1
23_A blue t-shirt._0.png,0.5
23_A blue t-shirt._1.png,0.75
23_A blue t-shirt._2.png,0.5
23_A blue t-shirt._3.png,0.75
23_A blue t-shirt._4.png,0.5
23_The word 'START'._0.png,0.5
23_The word 'START'._1.png,0.5
23_The word 'START'._2.png,0.5
23_The word 'START'._3.png,0.5
23_The word 'START'._4.png,0.5
partiprompt_1085_stable_diffusion_v2_1.jpg,1
24_a snake curled_0.png,0.6666666667
24_a snake curled_1.png,0.6666666667
24_a snake curled_2.png,0.6666666667
24_a snake curled_3.png,0.6666666667
24_a snake curled_4.png,0.6666666667
24_a wooden post_0.png,0.6666666667
24_a wooden post_1.png,0.6666666667
24_a wooden post_2.png,0.6666666667
24_a wooden post_3.png,0.6666666667
24_a wooden post_4.png,0.6666666667
drawbench_74_stable_diffusion_v2_1.jpg,0.8181818182
"25_A vehicle composed of two wheels held in a frame one behind the other, propelled by pedals._1.png",0.5454545455
"25_A vehicle composed of two wheels held in a frame one behind the other, propelled by pedals._2.png",0.7272727273
25_A vehicle composed of two wheels held in a frame one behind the other._0.png,0.4545454545
25_A vehicle composed of two wheels held in a frame one behind the other._1.png,0.5454545455
25_A vehicle composed of two wheels held in a frame one behind the other._3.png,0.5454545455
25_A vehicle composed of two wheels held in a frame one behind the other._4.png,0.4545454545
25_A vehicle with a front wheel._4.png,0.4545454545
25_Two wheels held in a frame one behind the other._0.png,0.9090909091
25_Two wheels held in a frame one behind the other._1.png,0.9090909091
25_A vehicle._0.png,0.6363636364
25_A vehicle._1.png,0.6363636364
25_A vehicle._2.png,0.4545454545
25_A vehicle._3.png,0.5454545455
25_A vehicle._4.png,0.4545454545
25_A wheel._0.png,0.1818181818
25_A wheel._1.png,0.1818181818
25_A wheel._2.png,0.1818181818
25_A wheel._3.png,0.3636363636
25_A wheel._4.png,0.2727272727
25_Pedals._0.png,0.4545454545
25_Pedals._1.png,0.6363636364
25_Pedals._4.png,0.4545454545
25_A front wheel._0.png,1
25_A front wheel._1.png,0.9090909091
25_A front wheel._2.png,1
25_A front wheel._3.png,0.5454545455
25_A front wheel._4.png,0.8181818182
partiprompt_1285_stable_diffusion_v2_1.jpg,1
26_A sketch._0.png,0.5
26_A sketch._1.png,0.5
26_A sketch._2.png,0.5
26_A sketch._3.png,0.5
26_A sketch._4.png,0.5
partiprompt_1115_stable_diffusion_v2_1.jpg,1
27_a pumpkin_0.png,0.25
27_a pumpkin_1.png,0.25
27_a pumpkin_2.png,0.25
27_a pumpkin_3.png,0.25
27_a pumpkin_4.png,0.75
27_a man's head_0.png,0.25
27_a man's head_1.png,0.5
27_a man's head_2.png,0.25
27_a man's head_3.png,0.5
27_a man's head_4.png,0.75
paintskill_275_stable_diffusion_v2_1.jpg,1
28_a photo of bike._0.png,0.5
28_a photo of bike._1.png,0.5
28_a photo of bike._2.png,0.5
28_a photo of bike._3.png,0.5
28_a photo of bike._4.png,0.5
28_a photo of skateboard._0.png,0.5
28_a photo of skateboard._1.png,0.5
28_a photo of skateboard._2.png,0.5
28_a photo of skateboard._3.png,0.5
28_a photo of skateboard._4.png,0.5
paintskill_254_stable_diffusion_v2_1.jpg,1
29_a photo of dog._0.png,0.5
29_a photo of dog._1.png,0.5
29_a photo of dog._2.png,0.5
29_a photo of dog._3.png,0.5
29_a photo of dog._4.png,0.5
29_a photo of stop sign._0.png,0.5
29_a photo of stop sign._1.png,0.5
29_a photo of stop sign._2.png,0.25
29_a photo of stop sign._3.png,0.5
29_a photo of stop sign._4.png,0.5
partiprompt_76_stable_diffusion_v2_1.jpg,0.9
"30_A dignified beaver wearing glasses, and a vest. He stands next to a tall stack of books in a library._0.png",0.8
"30_A dignified beaver wearing glasses, and a vest. He stands next to a tall stack of books in a library._4.png",0.9
"30_A dignified beaver wearing glasses, and colorful neck tie. He stands next to a tall stack of books in a library._0.png",1
"30_A dignified beaver wearing glasses, and colorful neck tie. He stands next to a tall stack of books in a library._4.png",0.5
"30_A dignified beaver wearing a vest, and colorful neck tie. He stands next to a tall stack of books in a library._0.png",0.8
"30_A dignified beaver wearing a vest, and colorful neck tie. He stands next to a tall stack of books in a library._4.png",0.7
"30_A dignified beaver wearing glasses, a vest, and colorful neck tie._0.png",0.7
30_A dignified beaver wearing glasses and colorful neck tie. He stands next to a tall stack of books._0.png,0.8
30_A dignified beaver wearing glasses and colorful neck tie. He stands next to a tall stack of books._2.png,0.7
30_A dignified beaver wearing glasses and colorful neck tie._1.png,0.6
30_A dignified beaver wearing glasses and colorful neck tie._2.png,0.8
30_A dignified beaver wearing glasses and colorful neck tie._3.png,0.7
30_A dignified beaver wearing glasses and colorful neck tie._4.png,0.8
30_A dignified beaver stands next to a tall stack of books in a library._0.png,0.5
30_A dignified beaver stands next to a tall stack of books in a library._1.png,0.7
30_A dignified beaver stands next to a tall stack of books in a library._3.png,0.6
30_A dignified beaver stands next to a tall stack of books in a library._4.png,0.7
30_A dignified beaver wearing glasses._0.png,0.5
30_A dignified beaver wearing glasses._1.png,0.5
30_A dignified beaver wearing glasses._2.png,0.6
30_A dignified beaver wearing glasses._3.png,0.6
30_A dignified beaver wearing glasses._4.png,0.5
30_A dignified beaver wearing a colorful neck tie._0.png,0.6
30_A dignified beaver wearing a colorful neck tie._1.png,0.5
30_A dignified beaver wearing a colorful neck tie._2.png,0.6
30_A dignified beaver wearing a colorful neck tie._3.png,0.7
30_A dignified beaver wearing a colorful neck tie._4.png,0.6
30_A tall stack of books in a library._4.png,0.4
30_A dignified beaver_4.png,0.4
30_Glasses._0.png,0.2
30_Glasses._2.png,0.3
30_Glasses._3.png,0.2
30_Glasses._4.png,0.2
30_A neck tie._1.png,0.3
30_A vest._1.png,0.4
30_A vest._3.png,0.3
30_A vest._4.png,0.5
partiprompt_1250_stable_diffusion_v2_1.jpg,1
31_a map._0.png,0.5
31_a map._1.png,0.5
31_a map._2.png,0.5
31_a map._3.png,0.5
31_a map._4.png,0.5
partiprompt_1053_stable_diffusion_v2_1.jpg,1
32_a pair of glasses._0.png,0.3333333333
32_a pair of glasses._1.png,0.3333333333
32_a pair of glasses._2.png,0.3333333333
32_a pair of glasses._4.png,0.3333333333
32_a computer monitor._0.png,0.6666666667
32_a computer monitor._2.png,0.6666666667
32_a computer monitor._3.png,0.6666666667
32_a computer monitor._4.png,0.6666666667
partiprompt_1028_stable_diffusion_v2_1.jpg,1
33_an ostrich standing._0.png,0.25
33_an ostrich standing._2.png,0.25
33_an ostrich standing._3.png,0.5
33_an ostrich standing._4.png,0.5
33_a couch._0.png,0.25
33_a couch._1.png,0.5
33_a couch._2.png,0.25
33_a couch._3.png,0.25
33_a couch._4.png,0.25
