id,image_id,blip1_dsg,fuyu_dsg,instruct_blip_dsg,llava-alt_dsg,llava_dsg,mplug_dsg,blip1_tifa,fuyu_tifa,instruct_blip_tifa,llava-alt_tifa,llava_tifa,mplug_tifa,alignscore,clipscore,gpt4v_tifa,gpt4v_dsg,viescore,llmscore_over,llmscore_ec
2,6,1,1,1,1,1,1,1,0.75,1,1,1,1,0.75,0.69,0.625,1,8,0,0
2,7,1,0.833333333,1,1,1,0.833333333,1,0.75,1,1,0.875,1,0.76,0.66,0.5,0.666666667,8,0,0
2,8,1,0.666666667,1,1,0.666666667,1,1,0.75,1,0.875,0.875,1,0.73,0.67,0.5,0.666666667,8,0,0
2,9,1,1,1,1,1,1,1,0.75,1,1,1,1,0.79,0.67,0.5,0.666666667,8,0,0
2,10,1,1,1,1,0.666666667,1,1,0.875,1,1,0.875,1,0.77,0.69,0.5,0.833333333,8,0,0
2,11,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.875,0.5,0.5,0.375,0.25,0.75,0.42,0.39,0.25,0.333333333,8,1,4
2,12,0.333333333,0.166666667,0.333333333,0.333333333,0.333333333,0.333333333,0.5,0.5,0.5,0.5,0.25,0.5,0.39,0.39,0.25,0.333333333,7,1,0
2,13,0.333333333,0.166666667,0.333333333,0.333333333,0.333333333,0.333333333,0.5,0.5,0.375,0.375,0.375,0.75,0.38,0.44,0.25,0.333333333,8,1,4
2,14,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.75,0.5,0.5,0.5,0.375,0.5,0.4,0.46,0.25,0.333333333,7,1,4
2,15,0.333333333,0.166666667,0.333333333,0.333333333,0.333333333,0.333333333,0.75,0.5,0.5,0.375,0.5,0.5,0.45,0.41,0.25,0.333333333,8,1,0
2,16,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.5,0.375,0.375,0.375,0.375,0.375,0.3,0.4,0.25,0.333333333,7,5,4
2,17,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.5,0.25,0.375,0.375,0.25,0.625,0.35,0.43,0.25,0.333333333,8,1,0
2,18,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.625,0.375,0.375,0.5,0.5,0.5,0.33,0.4,0.25,0.333333333,7,1,0
2,19,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.375,0.375,0.375,0.375,0.375,0.5,0.33,0.39,0.25,0.333333333,8,1,0
2,20,0.333333333,0.166666667,0.333333333,1,0.333333333,0.333333333,0.5,0.25,0.5,0.625,0.5,0.75,0.42,0.44,0.25,0.333333333,7,1,0
2,21,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.333333333,0.25,0.5,0.25,0.375,0.375,0.375,0.1,0.25,0.125,0.166666667,6,5,4
3,,1,0,0.75,1,1,1,0.833333333,0.333333333,0.666666667,1,1,1,0.48,0.6,0.666666667,1,8,0,0
3,1,1,0,0.5,1,0.75,1,0.833333333,0.5,0.666666667,1,1,1,0.49,0.54,0.666666667,1,8,1,1
3,2,1,0,1,1,0.75,1,0.833333333,0.333333333,1,1,1,0.833333333,0.47,0.57,0.666666667,0.75,8,0,0
3,3,1,0,1,1,1,1,1,0.5,1,1,1,1,0.37,0.69,0.666666667,1,8,0,2
3,4,1,0,0.75,1,1,1,0.833333333,0.333333333,0.666666667,1,1,0.833333333,0.48,0.51,0.666666667,0.75,8,0,0
3,5,1,0,0.75,1,1,1,0.833333333,0.333333333,0.666666667,1,1,1,0.52,0.55,0.666666667,1,8,0,0
3,6,0,0,0,0,0,0,0.666666667,0.166666667,0.5,0.333333333,0.333333333,0.666666667,0.34,0.27,0.166666667,0,7,1,0
3,7,0,0,0,0,0,0,0.666666667,0.333333333,0.5,0.333333333,0.5,0.666666667,0.3,0.26,0.166666667,0,2,1,0
3,8,0,0,0,0,0,0,0.666666667,0.166666667,0.5,0.5,0.5,0.5,0.43,0.39,0.166666667,0,5,3,12
3,9,0,0,0,0,0,0,0.666666667,0.333333333,0.5,0.333333333,0.333333333,0.833333333,0.29,0.29,0.166666667,0,7,1,4
3,10,0,0,0,0,0,0,0.666666667,0.166666667,0.5,0.333333333,0.5,0.666666667,0.31,0.33,0.166666667,0,8,1,0
4,,1,0.2,1,1,1,1,0.8,0.6,0.8,1,1,0.8,0.6,0.62,0.6,0.6,8,0,1
4,1,1,1,1,1,0.8,0.8,0.8,0.8,0.8,1,0.8,1,0.62,0.59,0.2,0.6,8,0,0
4,2,1,1,1,0.8,0.6,1,0.8,0.8,0.8,0.8,1,0.8,0.59,0.63,0.4,0.4,8,0,0
4,3,1,1,1,1,1,1,0.8,1,0.8,1,1,1,0.69,0.62,0.6,1,8,0,0
4,4,1,1,1,0.6,0.6,1,0.8,0.6,0.8,0.8,0.8,1,0.6,0.62,0.2,0.6,7,0,0
4,5,1,0.2,0.6,0.8,0.6,0.6,0.6,0.8,0.6,0.8,0.8,1,0.62,0.54,0.6,0.6,8,1,2
4,6,0.6,0.2,0.6,0.6,0.6,1,0.6,1,0.6,1,0.8,1,0.61,0.65,0.4,0.6,6,0,1
4,7,0.6,1,1,0.6,0.6,0.6,0.6,1,0.8,0.8,0.8,1,0.67,0.62,0.4,0.6,6,0,0
4,8,0.8,0.2,0.6,0.8,0.6,0.8,0.8,0.8,0.6,0.8,0.6,0.6,0.66,0.63,0.2,0.4,8,0,2
4,9,1,0.2,1,1,1,1,0.8,0.8,1,1,1,1,0.61,0.56,0.4,1,8,0,1
4,10,0.2,0.8,1,0.2,0.2,1,0.2,0.6,0.4,0.6,0.2,0.8,0.57,0.52,0.2,0.2,8,4,4
4,11,0.8,0.2,1,1,0.6,1,0.8,0.8,0.4,0.6,0.4,0.8,0.46,0.54,0.2,0.2,7,5,9
4,12,0.8,0.2,1,0.8,0.8,0.2,0.8,0.4,0.4,0.6,0.4,0.6,0.54,0.52,0.2,0.2,8,4,4
4,13,0.8,1,1,1,0.8,1,0.8,0.6,0.4,0.6,0.4,1,0.54,0.53,0.2,0.2,8,4,4
5,,1,0.25,1,1,1,1,1,0.6,1,1,1,1,0.69,0.65,0.6,1,7,0,1
5,1,1,0.25,1,1,0.75,1,1,0.6,1,1,1,0.8,0.72,0.7,0.6,1,8,0,0
5,2,1,0.25,1,1,1,1,1,0.6,1,1,1,1,0.74,0.71,0.6,1,8,0,2
5,3,1,0.25,1,1,1,1,1,0.4,1,1,1,0.8,0.67,0.78,0.6,1,8,0,0
5,4,1,0.25,1,1,0.75,0.75,1,0.4,1,1,1,1,0.63,0.76,0.6,1,7,0,0
5,5,0.5,0,0.75,0.5,0.5,0.5,0.4,0,0.2,0.4,0.4,0.4,0.31,0.29,0.2,0.5,5,5,9
5,6,0.5,0,0.5,0.5,0.5,0.5,0.4,0.2,0.4,0.4,0.4,0.4,0.48,0.44,0.2,0.5,7,5,9
5,7,0.5,0,0.75,0.5,0.5,0.5,0.4,0.2,0.4,0.2,0.4,0.4,0.47,0.41,0.2,0.5,3,5,9
5,8,0.5,0,0.75,0.5,0.5,0.5,0.4,0.2,0.2,0.2,0.4,0.2,0.44,0.44,0.2,0.5,5,5,4
5,9,0.5,0,0.75,0.5,0.5,0.5,0.4,0.2,0.4,0.4,0.4,0.4,0.43,0.46,0.2,0.5,3,5,9
5,10,0.75,0.25,1,0.75,0.75,0.75,1,0.6,1,1,1,0.8,0.54,0.58,0.6,0.5,8,1,4
5,11,0.5,0.25,1,0.5,0.5,0.75,1,0.6,1,1,0.8,1,0.57,0.54,0.6,0.5,7,1,1
5,12,0.75,0.25,1,0.75,0.5,0.5,1,0.6,1,1,1,1,0.56,0.6,0.6,0.5,7,1,4
5,13,0.5,0.25,0.75,0.5,0.5,0.75,1,0.4,1,1,1,1,0.55,0.61,0.6,0.5,8,2,8
5,14,0.5,1,1,0.5,0.5,0.5,1,0.4,1,0.8,0.8,1,0.49,0.58,0.6,0.5,8,0,0
5,15,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.2,0.2,0.2,0.4,0.4,0.22,0.22,0.2,0.5,3,5,9
5,16,0.5,0,0.5,0.5,0.5,0.5,0.4,0.2,0.4,0.4,0.4,0.4,0.22,0.21,0.2,0.5,0,5,9
5,17,0.5,0.5,0.75,0.5,0.5,0.5,0.4,0.2,0.2,0.4,0.4,0.4,0.17,0.21,0.2,0.5,6,2,4
5,18,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.2,0.4,0.4,0.4,0.4,0.22,0.2,0.2,0.5,5,5,9
5,19,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.2,0.2,0.4,0.4,0.4,0.21,0.21,0.2,0.5,0,5,9
5,20,0.5,0,0.5,0.5,0.5,0.5,0.2,0.2,0.4,0.2,0.4,0.4,0.23,0.19,0.2,0.5,5,5,4
5,21,0.5,0.5,0.75,0.5,0.5,0.5,0.4,0.2,0.2,0.4,0.4,0.4,0.15,0.24,0.2,0.5,5,5,0
5,22,0.5,0,0.5,0.5,0.5,0.5,0.4,0.2,0.4,0.2,0.2,0.4,0.21,0.18,0.2,0.5,5,5,9
5,23,0,0,0,0,0,0,0.2,0.6,0,0,0,0,0.18,0.07,0,0,0,5,9
5,24,0,0,0,0,0,0,0.2,0,0,0,0,0,0.19,0.11,0,0,3,5,9
5,25,0,0,0,0,0,0,0.2,0,0,0,0,0,0.17,0.14,0,0,5,5,9
5,26,0,0,0,0,0,0,0.2,0,0,0,0.2,0,0.17,0.11,0,0,0,5,9
5,27,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0,0.22,0.1,0,0,6,5,9
5,28,0.25,0.25,0.25,0.25,0.25,0.25,0.6,0.6,0.6,0.4,0.4,0.6,0.42,0.44,0.2,0.25,7,2,4
5,29,0.25,0,0.25,0.5,0.5,0.75,0.6,0.2,0.6,0.4,0.4,0.6,0.46,0.53,0.2,0.25,8,2,8
5,30,0.5,0.25,1,0.5,0.5,0.5,1,0,0.8,1,0.8,0.8,0.51,0.6,0.6,0.5,7,4,7
5,31,0.25,0.25,0.25,0.25,0.25,0.25,0.6,0.4,0.6,0.6,0.8,0.8,0.48,0.55,0.2,0.25,6,2,4
6,,0.6,0.6,0.6,0.6,0.6,0.6,0.625,0.75,0.5,0.625,0.625,0.75,0.69,0.55,0.375,0.6,8,1,2
6,1,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.25,0.375,0.5,0.375,0.5,0.52,0.44,0.25,0.6,7,0,0
6,2,0.6,0.6,0.6,0.6,0.2,0.6,0.5,0.25,0.375,0.5,0.375,0.375,0.44,0.39,0.25,0.6,7,0,2
6,3,0.6,0.2,0.6,0.6,0.6,0.6,0.375,0.5,0.375,0.375,0.5,0.5,0.56,0.43,0.25,0.6,8,4,9
6,4,0.6,0.6,0.8,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.59,0.51,0.375,0.8,8,1,5
6,5,0.6,0.2,0.6,0.6,0.6,0.4,0.5,0.375,0.375,0.5,0.5,0.5,0.56,0.53,0.375,0.6,8,2,4
6,6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.375,0.5,0.5,0.5,0.5,0.57,0.53,0.375,0.6,6,1,1
6,7,0.6,0.6,0.6,0.6,0.6,0.6,0.625,0.25,0.5,0.5,0.5,0.5,0.59,0.49,0.375,0.6,8,1,7
6,8,0.6,0.6,0.6,0.6,0.6,0.8,0.375,0.25,0.375,0.5,0.375,0.5,0.4,0.46,0.25,0.6,8,5,4
6,9,0.6,0.2,0.6,0.6,0.6,0.6,0.375,0.25,0.375,0.5,0.25,0.5,0.39,0.42,0.25,0.6,7,0,0
6,10,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.375,0.375,0.5,0.375,0.375,0.51,0.47,0.25,0.6,8,1,4
6,11,0.6,0.2,0.6,0.6,0.6,0.6,0.375,0.25,0.375,0.625,0.375,0.375,0.47,0.46,0.25,0.6,8,0,1
6,12,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0,0.125,0.25,0.125,0.25,0.34,0.3,0.125,0.2,8,2,8
6,13,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0,0.125,0.25,0.125,0.375,0.45,0.33,0.125,0.2,8,2,5
6,14,0.6,0.2,0.6,0.2,0.2,0.2,0.5,0.125,0.375,0.125,0.125,0.375,0.35,0.35,0.125,0.2,7,5,9
6,15,0.2,0.2,0.2,0.2,0.2,0.2,0.125,0,0.125,0.25,0.125,0.125,0.4,0.33,0.125,0.2,7,4,9
6,16,0.2,0,0.2,0.2,0.2,0.2,0.375,0.125,0.375,0.25,0.25,0.375,0.26,0.48,0.125,0.2,5,1,4
6,17,0.2,0,0.2,0.2,0.2,0.2,0.375,0.25,0.25,0.375,0.375,0.375,0.31,0.43,0.125,0.2,6,2,5
6,18,0.2,0.2,0.6,0.2,0.2,0.2,0.25,0.125,0.25,0.25,0.25,0.375,0.33,0.45,0.125,0.2,6,1,0
6,19,0.2,0.2,0.2,0.2,0.2,0.2,0.375,0.125,0.375,0.25,0.25,0.25,0.24,0.47,0.125,0.2,5,1,4
7,,1,0.2,1,1,1,1,0.875,0.75,0.75,1,1,1,0.68,0.57,0.5,1,8,0,0
7,1,1,0.2,1,1,1,1,0.875,0.5,0.75,1,1,0.875,0.64,0.49,0.5,1,8,0,0
7,2,1,0.4,1,1,1,1,0.875,0.75,0.875,1,1,1,0.7,0.63,0.375,0.8,8,0,0
7,3,1,0,1,1,1,1,0.875,0.5,0.75,0.875,1,1,0.68,0.57,0.5,1,8,0,0
7,4,1,0.2,1,1,0.6,1,0.875,0.5,0.875,0.875,1,1,0.62,0.6,0.375,1,8,0,0
7,5,1,0.2,1,1,1,1,0.75,0.625,0.75,1,1,1,0.67,0.55,0.375,0.6,8,0,0
7,6,0.6,0.4,0.6,0.6,0.6,0.6,0.625,0.5,0.625,0.875,0.75,0.625,0.58,0.52,0.25,0.6,8,0,0
7,7,1,0.4,1,1,1,1,0.875,0.5,0.75,1,1,1,0.61,0.65,0.5,0.8,8,0,0
7,8,0.6,0.8,0.6,0.6,0.6,0.6,0.625,0.5,0.625,0.875,0.75,0.75,0.32,0.52,0.25,0.6,8,0,0
7,9,0.6,0.8,1,0.6,0.6,0.6,0.625,0.375,0.75,0.875,0.75,0.75,0.49,0.49,0.25,0.6,8,1,2
7,10,1,0.4,1,1,1,1,0.875,0.625,0.75,1,1,1,0.62,0.56,0.5,1,8,0,0
7,11,0.4,0.4,0.4,0.4,0.4,0.4,0.625,0.625,0.625,0.625,0.75,0.75,0.46,0.43,0.125,0.2,8,1,5
7,12,1,0.4,0.4,0.4,0.4,0.4,0.875,0.375,0.5,0.625,0.625,0.5,0.43,0.36,0.125,0.4,8,0,3
7,13,1,0.4,0.4,0.4,0.4,0.4,0.875,0.375,0.625,0.625,0.625,0.5,0.43,0.45,0.25,0.4,7,1,6
7,14,1,0.4,1,0.4,0.4,0.4,0.75,0.5,0.625,0.75,0.5,0.75,0.48,0.42,0.25,0.4,8,1,4
7,15,0.4,0.2,0.4,0.4,0.2,0.2,0.75,0.375,0.625,0.625,0.5,0.625,0.53,0.38,0.125,0.2,8,1,4
7,16,1,0.2,1,0.4,0.4,0.4,0.875,0.5,0.625,0.75,0.625,0.625,0.49,0.35,0.125,0.2,6,1,0
7,17,0.4,0,0.4,1,0.4,0.4,0.5,0.125,0.5,0.75,0.875,0.625,0.5,0.37,0.125,0.2,8,1,9
7,18,1,0.2,1,1,0.4,1,0.75,0.625,0.625,1,0.75,1,0.58,0.38,0.25,0.6,8,1,0
7,19,1,0.2,1,0.4,0.2,0.6,0.625,0.375,0.5,0.875,0.625,0.75,0.52,0.4,0.375,0.8,8,0,1
7,20,0.4,0.4,0.4,0.4,0.4,0.2,0.625,0.375,0.5,0.625,0.625,0.625,0.51,0.43,0.25,0.2,8,2,4
7,21,0.4,0.4,0.2,0.2,0.2,0.4,0.375,0.25,0.5,0.25,0.625,0.625,0.26,0.27,0.125,0.2,8,4,8
7,22,0.2,0.4,0.2,0.2,0.2,0.2,0.25,0.375,0.375,0.5,0.5,0.625,0.13,0.11,0,0,7,2,6
7,23,0.6,0.4,0.2,0.2,0.2,0.2,0.625,0.375,0.25,0.5,0.375,0.25,0.22,0.26,0.125,0.2,5,4,7
7,24,0.2,0.4,0.2,0.2,0.2,0.2,0.625,0.75,0.5,0.5,0.625,0.625,0.36,0.51,0.125,0.2,6,3,7
7,25,0.4,0.2,0.2,0.2,0.2,0.2,0.625,0.625,0.625,0.5,0.625,0.625,0.36,0.46,0.125,0.2,8,2,2
7,26,0.4,0.2,0.4,0.4,0.2,0.4,0.625,0.375,0.625,0.625,0.625,0.75,0.48,0.38,0.25,0.4,7,1,4
7,27,0.2,0.4,0.2,0.2,0.2,0.4,0.625,0.5,0.5,0.5,0.625,0.75,0.44,0.48,0.125,0.2,6,2,7
7,28,0.4,0.4,0.4,0.4,0.4,0.4,0.875,0.625,0.625,0.625,0.75,0.75,0.48,0.53,0.25,0.4,8,1,4
8,,1,1,0.8,1,1,0.8,0.833333333,0.5,0.833333333,1,0.833333333,0.666666667,0.63,0.5,0.666666667,0.8,8,1,0
8,1,1,0.8,1,1,1,1,1,0.333333333,1,1,0.833333333,1,0.69,0.56,1,1,8,0,4
8,2,1,0,1,1,1,1,1,0,1,1,0.833333333,1,0.7,0.57,0.833333333,1,7,1,1
8,3,1,0.8,1,0.8,0.8,1,1,0.333333333,1,0.833333333,0.666666667,0.833333333,0.72,0.58,0.833333333,1,8,4,9
8,4,1,0.2,1,1,1,1,1,0,1,1,0.833333333,0.833333333,0.74,0.55,1,1,8,1,4
8,5,0.8,0.8,0.8,0.8,0.8,0.8,0.833333333,0.166666667,0.833333333,0.833333333,0.666666667,0.833333333,0.73,0.47,0.666666667,0.8,7,2,5
8,6,0.8,1,0.8,0.8,0.8,1,0.833333333,0.5,0.833333333,0.666666667,0.666666667,0.833333333,0.77,0.5,0.666666667,0.8,8,2,6
8,7,0.6,0.2,1,0.6,0.6,1,0.666666667,0.333333333,1,0.666666667,0.5,0.833333333,0.61,0.49,0.666666667,1,7,1,1
8,8,0.8,0.8,0.6,0.8,0.6,0.6,0.833333333,0.166666667,0.666666667,0.666666667,0.5,0.666666667,0.67,0.46,0.5,0.6,8,1,3
8,9,0.8,0.6,0.6,0.6,0.6,1,0.833333333,0.5,0.666666667,0.666666667,0.5,0.666666667,0.71,0.46,0.5,0.8,8,2,6
8,10,0.8,0.2,0.6,0.8,0.6,1,0.833333333,0.166666667,0.666666667,0.5,0.5,0.833333333,0.67,0.43,0.5,0.6,7,2,1
8,11,0.8,0.4,0.6,0.8,0.6,1,0.833333333,0.166666667,0.666666667,0.5,0.5,0.833333333,0.73,0.51,0.5,0.6,8,1,4
8,12,0.8,1,0.6,0.8,0.6,0.8,0.833333333,0.333333333,0.666666667,0.666666667,0.5,0.833333333,0.67,0.45,0.5,0.6,8,"""3",7
8,13,0.8,1,0.8,0.8,0.8,0.8,0.666666667,0.5,0.833333333,0.833333333,0.666666667,0.666666667,0.62,0.48,0.833333333,0.8,8,1,6
8,14,0.8,0.8,1,0.8,0.8,0.8,0.833333333,0.333333333,1,0.833333333,0.5,0.833333333,0.62,0.42,0.833333333,0.8,7,2,3
8,15,1,0.4,0.8,0.8,0.8,1,1,0.166666667,0.833333333,0.833333333,0.666666667,1,0.72,0.49,0.666666667,0.8,6,1,3
8,16,1,0.8,0.8,1,0.8,1,1,0,0.833333333,0.833333333,0.666666667,0.666666667,0.65,0.55,0.833333333,1,8,1,8
8,17,1,0,1,1,1,1,1,0,1,1,0.833333333,0.833333333,0.68,0.53,0.833333333,0.8,8,1,5
8,18,0.8,0.4,0.8,0.8,0.8,1,0.833333333,0,0.833333333,0.666666667,0.666666667,0.833333333,0.69,0.5,0.666666667,0.8,8,1,3
8,19,0.8,1,0.8,0.8,0.8,0.8,0.833333333,0.5,0.833333333,0.833333333,0.666666667,0.666666667,0.71,0.51,0.666666667,0.8,8,0,4
8,20,0.8,1,0.8,0.8,0.8,0.8,0.833333333,0.333333333,0.833333333,0.666666667,0.5,0.666666667,0.68,0.5,0.833333333,0.8,8,3,7
8,21,1,0.6,0.8,0.8,0.8,0.8,1,0.166666667,0.833333333,0.833333333,0.666666667,1,0.59,0.44,0.666666667,1,7,2,4
8,22,0.4,0,0.8,0.4,0.4,0.8,0.5,0.166666667,0.833333333,0.5,0.333333333,0.666666667,0.53,0.47,0.333333333,0.4,8,2,6
8,23,0.6,0.2,0.8,0.6,0.4,1,0.666666667,0,1,0.666666667,0.333333333,0.666666667,0.63,0.54,0.666666667,0.6,6,0,1
8,24,0.4,0,1,0.4,0.2,0.4,0.5,0,1,0.333333333,0.333333333,0.5,0.56,0.43,0.166666667,0.4,8,2,5
8,25,0.8,0.4,0.8,0.8,0.8,1,0.833333333,0,0.833333333,0.666666667,0.666666667,0.666666667,0.74,0.42,0.666666667,0.8,7,2,5
8,26,0.8,0.2,0.6,0.8,0.6,0.8,0.833333333,0,0.666666667,0.833333333,0.5,0.833333333,0.75,0.53,0.666666667,0.8,8,3,8
8,27,0.6,0.4,0.6,0.6,0.6,0.8,0.666666667,0.333333333,0.666666667,0.5,0.5,1,0.67,0.51,0.5,0.8,8,3,6
8,28,0.8,0.6,0.6,0.6,0.6,0.8,0.833333333,0.166666667,0.666666667,0.5,0.5,0.833333333,0.69,0.48,0.666666667,0.8,7,3,7
8,29,0.8,1,0.6,0.8,0.6,1,0.833333333,0.333333333,0.666666667,0.666666667,0.5,1,0.73,0.45,0.5,0.6,8,3,3
8,30,1,1,0.6,0.8,0.6,0.8,1,0.333333333,0.666666667,0.666666667,0.5,0.666666667,0.68,0.44,0.5,0.6,8,1,5
8,31,0.8,0.8,0.6,0.6,0.2,1,0.833333333,0.166666667,0.666666667,0.5,0.333333333,0.833333333,0.71,0.53,0.666666667,0.8,6,3,9
8,32,0.8,0.4,0.6,0.6,0.6,1,0.833333333,0.333333333,0.666666667,0.5,0.5,0.833333333,0.7,0.47,0.666666667,0.8,7,1,4
8,33,0.8,0.8,0.6,0.6,0.6,1,0.833333333,0.333333333,0.666666667,0.5,0.5,0.833333333,0.7,0.48,0.5,0.6,9,2,7
8,34,0.2,0.2,0.4,0.2,0.2,0.6,0.333333333,0.166666667,0.5,0.166666667,0.166666667,0.5,0.55,0.34,0.166666667,0.2,7,4,7
8,35,0.2,0.4,0.4,0.2,0.2,0.6,0.333333333,0.666666667,0.5,0.166666667,0.166666667,0.5,0.54,0.38,0.333333333,0.4,7,2,4
8,36,0.2,0,0.4,0.2,0.2,0.4,0.333333333,0.166666667,0.5,0.166666667,0.166666667,0.333333333,0.49,0.39,0.333333333,0.4,7,3,8
8,37,0.4,0,0.6,0.2,0.2,0.4,0.5,0,0.666666667,0.166666667,0.166666667,0.333333333,0.54,0.38,0.166666667,0.2,8,3,6
8,38,0.4,0.4,0.6,0.2,0.2,0.4,0.5,0.166666667,0.666666667,0.333333333,0.166666667,0.5,0.53,0.37,0.166666667,0.4,7,3,5
8,39,0.2,0.8,0.2,0,0,0.2,0.166666667,0.5,0.166666667,0,0,0.166666667,0.25,0.3,0.166666667,0.2,8,5,9
8,40,0.4,0.2,0.2,0,0,0.4,0.333333333,0.166666667,0.166666667,0.166666667,0,0.166666667,0.23,0.28,0,0.6,6,5,20
