id,image_id,llava_dsg,llava_tifa,llava-alt_dsg,fuyu_dsg,mplug_dsg,mplug_tifa,llava-alt_tifa,fuyu_tifa,llmscore_over,llmscore_ec,clipscore_norm,blipscore_norm,alignscore_norm
1,9,0.25,0.6,0.25,0,0.75,0.8,0.6,0.4,5,9,0.54,0.1,0.48
1,10,0.5,0.6,0.5,0.25,0.75,0.8,0.6,0.4,5,0,0.43,0.49,0.5
2,0,1,0.875,1,1,1,1,1,0.875,0,0,0.63,-0.79,0.78
2,1,1,1,1,0.8333333333,1,1,1,0.75,0,0,0.68,-0.98,0.76
2,2,1,1,1,1,1,1,1,0.75,0,0,0.71,-0.63,0.8
2,3,1,1,1,1,1,1,1,0.875,0,0,0.64,-0.66,0.73
2,4,1,1,1,1,1,1,1,0.75,0,0,0.65,-0.55,0.79
2,5,1,1,1,1,1,1,1,0.75,0,0,0.69,-0.83,0.79
2,6,1,1,1,1,1,1,1,0.75,0,0,0.69,-0.81,0.75
2,7,1,0.875,1,0.8333333333,0.83333333,1,1,0.75,0,0,0.66,-0.59,0.76
2,8,0.6666666667,0.875,1,0.6666666667,1,1,0.875,0.75,0,0,0.67,-0.81,0.73
2,9,1,1,1,1,1,1,1,0.75,0,0,0.67,-0.61,0.79
2,10,0.6666666667,0.875,1,1,1,1,1,0.875,0,0,0.69,-0.69,0.77
2,11,0.3333333333,0.25,0.5,0.5,0.5,0.75,0.375,0.5,1,4,0.39,0.01,0.42
2,12,0.3333333333,0.25,0.5,0.3333333333,0.66666667,0.5,0.5,0.5,1,0,0.39,0.19,0.39
2,13,0.3333333333,0.375,0.3333333333,0.3333333333,0.5,0.75,0.375,0.5,1,4,0.44,-0.38,0.38
2,14,0.3333333333,0.375,0.6666666667,0.5,0.66666667,0.5,0.5,0.5,1,4,0.46,-0.46,0.4
2,15,0.3333333333,0.5,0.3333333333,0.3333333333,0.66666667,0.5,0.375,0.5,1,0,0.41,-0.56,0.45
2,16,0.3333333333,0.375,0.3333333333,0.5,0.5,0.375,0.375,0.375,5,4,0.4,0.24,0.3
2,17,0.3333333333,0.25,0.6666666667,0.5,0.5,0.625,0.375,0.25,1,0,0.43,-0.42,0.35
2,18,0.3333333333,0.5,0.3333333333,0.3333333333,0.5,0.5,0.5,0.375,1,0,0.4,-0.26,0.33
2,19,0.3333333333,0.375,0.3333333333,0.5,0.66666667,0.5,0.375,0.375,1,0,0.39,-0.31,0.33
2,20,0.6666666667,0.5,1,0.3333333333,0.66666667,0.75,0.625,0.25,1,0,0.44,-0.41,0.42
2,21,0.1666666667,0.375,0.1666666667,0.3333333333,0.33333333,0.375,0.375,0.5,5,4,0.25,0.11,0.1
3,0,1,1,1,0.5,1,1,1,0.3333333333,0,0,0.6,-0.44,0.48
3,1,0.75,1,1,0.5,1,1,1,0.5,1,1,0.54,-0.46,0.49
3,2,0.75,1,1,0.5,1,0.8333333333,1,0.3333333333,0,0,0.57,-0.21,0.47
3,3,1,1,1,0.5,1,1,1,0.5,0,2,0.69,-0.65,0.37
3,4,1,1,1,0.25,1,0.8333333333,1,0.3333333333,0,0,0.51,-0.03,0.48
3,5,1,1,1,0.5,1,1,1,0.3333333333,0,0,0.55,-0.38,0.52
3,6,0.25,0.3333333333,0.25,0,0.5,0.6666666667,0.3333333333,0.1666666667,1,0,0.27,-0.04,0.34
3,7,0,0.5,0.5,0,0.75,0.6666666667,0.3333333333,0.3333333333,1,0,0.26,-0.31,0.3
3,8,0.25,0.5,0.25,0,0.75,0.5,0.5,0.1666666667,3,12,0.39,-0.38,0.43
3,9,0,0.3333333333,0,0.25,0.75,0.8333333333,0.3333333333,0.3333333333,1,4,0.29,0.21,0.29
3,10,0,0.5,0,0,0.75,0.6666666667,0.3333333333,0.1666666667,1,0,0.33,-0.54,0.31
4,0,1,1,1,0.4,1,0.8,1,0.6,0,1,0.62,-0.05,0.6
4,1,0.8,0.8,1,1,0.8,1,1,0.8,0,0,0.59,-0.07,0.62
4,2,0.6,1,0.8,1,1,0.8,0.8,0.8,0,0,0.63,-0.03,0.59
4,3,1,1,1,1,1,1,1,1,0,0,0.62,-0.29,0.69
4,4,0.6,0.8,0.6,1,1,1,0.8,0.6,0,0,0.62,0.26,0.6
4,5,0.6,0.8,0.8,0.6,0.6,1,0.8,0.8,1,2,0.54,0.15,0.62
4,6,0.6,0.8,0.6,0.8,1,1,1,1,0,1,0.65,0.03,0.61
4,7,0.6,0.8,0.6,1,0.6,1,0.8,1,0,0,0.62,0.23,0.67
4,8,0.6,0.6,0.8,0.8,0.8,0.6,0.8,0.8,0,2,0.63,-0.39,0.66
4,9,1,1,1,0.6,1,1,1,0.8,0,1,0.56,0.01,0.61
4,10,0.6,0.2,0.4,0.8,1,0.8,0.6,0.6,4,4,0.52,-0.08,0.57
4,11,0.6,0.4,1,0.6,1,0.8,0.6,0.8,5,9,0.54,0.32,0.46
4,12,0.8,0.4,0.8,0.6,0.8,0.6,0.6,0.4,4,4,0.52,0.26,0.54
4,13,0.8,0.4,1,1,1,1,0.6,0.6,4,4,0.53,-0.41,0.54
5,0,1,1,1,0.75,1,1,1,0.6,0,1,0.65,0.97,0.69
5,1,0.75,1,1,0.75,1,0.8,1,0.6,0,0,0.7,0.88,0.72
5,2,1,1,1,0.75,1,1,1,0.6,0,2,0.71,0.76,0.74
5,3,1,1,1,0.75,1,0.8,1,0.4,0,0,0.78,0.83,0.67
5,4,0.75,1,1,0.75,0.75,1,1,0.4,0,0,0.76,0.47,0.63
5,5,0.5,0.4,0.5,0.5,0.5,0.4,0.4,0,5,9,0.29,0.69,0.31
5,6,0.5,0.4,0.5,0.5,0.5,0.4,0.4,0.2,5,9,0.44,0.94,0.48
5,7,0.5,0.4,0.5,0.5,0.5,0.4,0.2,0.2,5,9,0.41,0.95,0.47
5,8,0.5,0.4,0.5,0.5,0.5,0.2,0.2,0.2,5,4,0.44,0.69,0.44
5,9,0.5,0.4,0.5,0.5,0.5,0.4,0.4,0.2,5,9,0.46,0.69,0.43
5,10,0.75,1,0.75,0.75,0.75,0.8,1,0.6,1,4,0.58,0.42,0.54
5,11,0.5,0.8,0.5,0.75,0.75,1,1,0.6,1,1,0.54,0.27,0.57
5,12,0.5,1,0.75,0.75,0.5,1,1,0.6,1,4,0.6,0.15,0.56
5,13,0.5,1,0.5,0.75,0.75,1,1,0.4,2,8,0.61,0.31,0.55
5,14,0.5,0.8,0.5,1,0.5,1,0.8,0.4,0,0,0.58,0.44,0.49
5,15,0.5,0.4,0.5,0.5,0.5,0.4,0.2,0.2,5,9,0.22,0.69,0.22
5,16,0.5,0.4,0.5,0.25,0.5,0.4,0.4,0.2,5,9,0.21,0.8,0.22
5,17,0.5,0.4,0.5,0.5,0.5,0.4,0.4,0.2,2,4,0.21,0.77,0.17
5,18,0.5,0.4,0.5,0.5,0.5,0.4,0.4,0.2,5,9,0.2,0.51,0.22
5,19,0.5,0.4,0.5,0.5,0.5,0.4,0.4,0.2,5,9,0.21,0.27,0.21
5,20,0.5,0.4,0.5,0.25,0.5,0.4,0.2,0.2,5,4,0.19,0.78,0.23
5,21,0.5,0.4,0.5,0.5,0.5,0.4,0.4,0.2,5,0,0.24,0.75,0.15
5,22,0.5,0.2,0.5,0.25,0.5,0.4,0.2,0.2,5,9,0.18,0.74,0.21
5,23,0,0,0,0.25,0.25,0,0,0.6,5,9,0.07,0.1,0.18
5,24,0,0,0,0.25,0.25,0,0,0,5,9,0.11,0.13,0.19
5,25,0,0,0,0.25,0.25,0,0,0,5,9,0.14,0.33,0.17
5,26,0,0.2,0,0.25,0.25,0,0,0,5,9,0.11,0.65,0.17
5,27,0,0.2,0,0.25,0.25,0,0,0,5,9,0.1,0.58,0.22
5,28,0.25,0.4,0.25,0.75,0.25,0.6,0.4,0.6,2,4,0.44,0.33,0.42
5,29,0.5,0.4,0.5,0.5,0.75,0.6,0.4,0.2,2,8,0.53,0.43,0.46
5,30,0.5,0.8,0.5,0.75,0.5,0.8,1,0,4,7,0.6,0.53,0.51
5,31,0.25,0.8,0.25,0.75,0.25,0.8,0.6,0.4,2,4,0.55,0.4,0.48
6,0,0.6,0.625,0.8,0.8,0.6,0.75,0.625,0.75,1,2,0.55,-0.14,0.69
6,1,0.6,0.375,0.6,0.8,0.6,0.5,0.5,0.25,0,0,0.44,0.36,0.52
6,2,0.4,0.375,0.6,0.6,0.6,0.375,0.5,0.25,0,2,0.39,0.38,0.44
6,3,0.6,0.5,0.6,0.6,0.6,0.5,0.375,0.5,4,9,0.43,0.05,0.56
6,4,0.6,0.5,0.6,0.6,0.6,0.5,0.5,0.5,1,5,0.51,-0.06,0.59
6,5,0.6,0.5,0.6,0.2,0.4,0.5,0.5,0.375,2,4,0.53,-0.05,0.56
6,6,0.6,0.5,0.6,0.6,0.6,0.5,0.5,0.375,1,1,0.53,0.09,0.57
6,7,0.6,0.5,0.6,0.6,0.6,0.5,0.5,0.25,1,7,0.49,-0.02,0.59
6,8,0.6,0.375,0.6,0.6,0.8,0.5,0.5,0.25,5,4,0.46,0.45,0.4
6,9,0.6,0.25,0.6,0.4,0.6,0.5,0.5,0.25,0,0,0.42,0.77,0.39
6,10,0.6,0.375,0.6,0.6,0.6,0.375,0.5,0.375,1,4,0.47,0.71,0.51
6,11,0.6,0.375,0.6,0.4,0.6,0.375,0.625,0.25,0,1,0.46,0.68,0.47
6,12,0.2,0.125,0.2,0.2,0.2,0.25,0.25,0,2,8,0.3,0.13,0.34
6,13,0.2,0.125,0.2,0.4,0.2,0.375,0.25,0,2,5,0.33,0.09,0.45
6,14,0.2,0.125,0.4,0.4,0.4,0.375,0.125,0.125,5,9,0.35,0.05,0.35
6,15,0.2,0.125,0.2,0.4,0.4,0.125,0.25,0,4,9,0.33,0.35,0.4
6,16,0.2,0.25,0.2,0,0.2,0.375,0.25,0.125,1,4,0.48,-0.63,0.26
6,17,0.2,0.375,0.2,0,0.2,0.375,0.375,0.25,2,5,0.43,0.23,0.31
6,18,0.2,0.25,0.2,0.2,0.4,0.375,0.25,0.125,1,0,0.45,-0.26,0.33
6,19,0.2,0.25,0.2,0.2,0.2,0.25,0.25,0.125,1,4,0.47,-0.12,0.24
7,0,1,1,1,0.6,1,1,1,0.75,0,0,0.57,-0.37,0.68
7,1,1,1,1,0.2,1,0.875,1,0.5,0,0,0.49,-0.07,0.64
7,2,1,1,1,0.4,1,1,1,0.75,0,0,0.63,0.26,0.7
7,3,1,1,1,0.2,1,1,0.875,0.5,0,0,0.57,-0.29,0.68
7,4,0.8,1,1,0.4,1,1,0.875,0.5,0,0,0.6,0.29,0.62
7,5,1,1,1,0.4,1,1,1,0.625,0,0,0.55,-0.19,0.67
7,6,0.6,0.75,0.8,0.6,0.8,0.625,0.875,0.5,0,0,0.52,0.74,0.58
7,7,1,1,1,0.8,1,1,1,0.5,0,0,0.65,0.27,0.61
7,8,0.6,0.75,0.8,0.8,0.6,0.75,0.875,0.5,0,0,0.52,0.21,0.32
7,9,0.6,0.75,0.8,0.8,0.6,0.75,0.875,0.375,1,2,0.49,0.49,0.49
7,10,1,1,1,0.6,1,1,1,0.625,0,0,0.56,0.6,0.62
7,11,0.4,0.75,0.4,0.6,0.4,0.75,0.625,0.625,1,5,0.43,0.01,0.46
7,12,0.4,0.625,0.4,0.4,0.6,0.5,0.625,0.375,0,3,0.36,0.16,0.43
7,13,0.4,0.625,0.4,0.4,0.4,0.5,0.625,0.375,1,6,0.45,-0.37,0.43
7,14,0.4,0.5,0.4,0.4,0.4,0.75,0.75,0.5,1,4,0.42,0.1,0.48
7,15,0.2,0.5,0.4,0.2,0.4,0.625,0.625,0.375,1,4,0.38,-0.15,0.53
7,16,0.6,0.625,0.8,0.2,0.6,0.625,0.75,0.5,1,0,0.35,0.14,0.49
7,17,0.8,0.875,1,0,0.8,0.625,0.75,0.125,1,9,0.37,0.03,0.5
7,18,0.8,0.75,1,0.2,1,1,1,0.625,1,0,0.38,-0.09,0.58
7,19,0.6,0.625,0.8,0.2,0.8,0.75,0.875,0.375,0,1,0.4,-0.03,0.52
7,20,0.4,0.625,0.4,0.4,0.2,0.625,0.625,0.375,2,4,0.43,-0.03,0.51
7,21,0.2,0.625,0.2,0.6,0.4,0.625,0.25,0.25,4,8,0.27,-0.02,0.26
7,22,0.2,0.5,0.2,0.4,0.6,0.625,0.5,0.375,2,6,0.11,0.07,0.13
7,23,0.2,0.375,0.2,0.4,0.2,0.25,0.5,0.375,4,7,0.26,0.06,0.22
7,24,0.2,0.625,0.2,0.6,0.2,0.625,0.5,0.75,3,7,0.51,0.48,0.36
7,25,0.2,0.625,0.2,0.2,0.2,0.625,0.5,0.625,2,2,0.46,-0.16,0.36
7,26,0.2,0.625,0.4,0.2,0.4,0.75,0.625,0.375,1,4,0.38,0.03,0.48
7,27,0.2,0.625,0.2,0.6,0.4,0.75,0.5,0.5,2,7,0.48,0.35,0.44
7,28,0.4,0.75,0.4,0.4,0.4,0.75,0.625,0.625,1,4,0.53,0.02,0.48
8,0,1,0.8333333333,1,1,0.8,0.6666666667,1,0.5,1,0,0.5,0.66,0.63
8,1,1,0.8333333333,1,0.8,1,1,1,0.3333333333,0,4,0.56,-0.06,0.69
8,2,1,0.8333333333,1,0,1,1,1,0,1,1,0.57,0.05,0.7
8,3,0.8,0.6666666667,0.8,0.8,1,0.8333333333,0.8333333333,0.3333333333,4,9,0.58,0.27,0.72
8,4,1,0.8333333333,1,0.2,1,0.8333333333,1,0,1,4,0.55,0.29,0.74
8,5,0.8,0.6666666667,0.8,0.8,0.8,0.8333333333,0.8333333333,0.1666666667,2,5,0.47,0.14,0.73
8,6,0.8,0.6666666667,0.8,1,1,0.8333333333,0.6666666667,0.5,2,6,0.5,0.08,0.77
8,7,0.6,0.5,0.6,0.2,1,0.8333333333,0.6666666667,0.3333333333,1,1,0.49,-0.13,0.61
8,8,0.6,0.5,0.8,0.8,0.6,0.6666666667,0.6666666667,0.1666666667,1,3,0.46,0.3,0.67
8,9,0.6,0.5,0.6,0.6,1,0.6666666667,0.6666666667,0.5,2,6,0.46,0.29,0.71
8,10,0.6,0.5,0.8,0.2,1,0.8333333333,0.5,0.1666666667,2,1,0.43,0.28,0.67
8,11,0.6,0.5,0.8,0.4,1,0.8333333333,0.5,0.1666666667,1,4,0.51,0.34,0.73
8,12,0.6,0.5,0.8,1,0.8,0.8333333333,0.6666666667,0.3333333333,"""3",7,0.45,0.21,0.67
8,13,0.8,0.6666666667,0.8,1,0.8,0.6666666667,0.8333333333,0.5,1,6,0.48,-0.16,0.62
8,14,0.8,0.5,0.8,0.8,0.8,0.8333333333,0.8333333333,0.3333333333,2,3,0.42,0.24,0.62
8,15,0.8,0.6666666667,0.8,0.4,1,1,0.8333333333,0.1666666667,1,3,0.49,0.28,0.72
8,16,0.8,0.6666666667,1,0.8,1,0.6666666667,0.8333333333,0,1,8,0.55,0.05,0.65
8,17,1,0.8333333333,1,0,1,0.8333333333,1,0,1,5,0.53,0.31,0.68
8,18,0.8,0.6666666667,0.8,0.4,1,0.8333333333,0.6666666667,0,1,3,0.5,0.19,0.69
8,19,0.8,0.6666666667,0.8,1,0.8,0.6666666667,0.8333333333,0.5,0,4,0.51,-0.07,0.71
8,20,0.8,0.5,0.8,1,0.8,0.6666666667,0.6666666667,0.3333333333,3,7,0.5,0,0.68
8,21,0.8,0.6666666667,0.8,0.6,0.8,1,0.8333333333,0.1666666667,2,4,0.44,-0.21,0.59
8,22,0.4,0.3333333333,0.4,0,0.8,0.6666666667,0.5,0.1666666667,2,6,0.47,-0.11,0.53
8,23,0.4,0.3333333333,0.6,0.2,1,0.6666666667,0.6666666667,0,0,1,0.54,0.11,0.63
8,24,0.2,0.3333333333,0.4,0,0.4,0.5,0.3333333333,0,2,5,0.43,0.29,0.56
8,25,0.8,0.6666666667,0.8,0.4,1,0.6666666667,0.6666666667,0,2,5,0.42,0.09,0.74
8,26,0.6,0.5,0.8,0.2,0.8,0.8333333333,0.8333333333,0,3,8,0.53,0.2,0.75
8,27,0.6,0.5,0.6,0.4,0.8,1,0.5,0.3333333333,3,6,0.51,-0.07,0.67
8,28,0.6,0.5,0.6,0.6,0.8,0.8333333333,0.5,0.1666666667,3,7,0.48,-0.05,0.69
8,29,0.6,0.5,0.8,1,1,1,0.6666666667,0.3333333333,3,3,0.45,0.22,0.73
8,30,0.6,0.5,0.8,1,0.8,0.6666666667,0.6666666667,0.3333333333,1,5,0.44,0.13,0.68
8,31,0.2,0.3333333333,0.6,0.8,1,0.8333333333,0.5,0.1666666667,3,9,0.53,0.09,0.71
8,32,0.6,0.5,0.6,0.4,1,0.8333333333,0.5,0.3333333333,1,4,0.47,0.11,0.7
8,33,0.6,0.5,0.6,0.8,1,0.8333333333,0.5,0.3333333333,2,7,0.48,0.25,0.7
8,34,0.2,0.1666666667,0.2,0.2,0.6,0.5,0.1666666667,0.1666666667,4,7,0.34,-0.2,0.55
8,35,0.2,0.1666666667,0.2,0.4,0.6,0.5,0.1666666667,0.6666666667,2,4,0.38,-0.4,0.54
8,36,0.2,0.1666666667,0.2,0,0.4,0.3333333333,0.1666666667,0.1666666667,3,8,0.39,-0.14,0.49
8,37,0.2,0.1666666667,0.2,0,0.4,0.3333333333,0.1666666667,0,3,6,0.38,-0.28,0.54
8,38,0.2,0.1666666667,0.2,0.4,0.4,0.5,0.3333333333,0.1666666667,3,5,0.37,-0.09,0.53
8,39,0,0,0,0.8,0.2,0.1666666667,0,0.5,5,9,0.3,-0.34,0.25
8,40,0,0,0,0.2,0.4,0.1666666667,0.1666666667,0.1666666667,5,20,0.28,-0.54,0.23
8,41,0,0,0,0.6,0.2,0.1666666667,0.1666666667,0,5,20,0.24,0.11,0.28
8,42,0,0.1666666667,0.2,0.6,0.4,0.1666666667,0.1666666667,0.3333333333,5,9,0.24,0.01,0.27
8,43,0.2,0.1666666667,0.4,0.6,0.2,0.3333333333,0.3333333333,0.3333333333,5,20,0.26,-0.07,0.25
8,44,0,0.1666666667,0.4,0,0.4,0.3333333333,0.3333333333,0,4,4,0.21,-0.36,0.38
8,45,0.4,0.3333333333,0.4,0.4,0.4,0.3333333333,0.3333333333,0.3333333333,5,16,0.23,0.17,0.46
8,46,0.2,0.1666666667,0.4,0.2,0.2,0.1666666667,0.1666666667,0.3333333333,5,20,0.16,0.09,0.21
8,47,0,0.1666666667,0.4,0.2,0.4,0.3333333333,0.3333333333,0.3333333333,5,20,0.22,-0.22,0.25
8,48,0.4,0.1666666667,0.4,0.4,0.4,0.3333333333,0.3333333333,0.3333333333,4,7,0.19,-0.45,0.36
8,49,0.6,0.5,0.6,0.8,0.6,0.5,0.5,0,3,4,0.41,0.16,0.54
8,50,0.2,0.1666666667,0.2,0.8,0.4,0.1666666667,0.1666666667,1,4,13,0.31,-0.38,0.33
8,51,0.2,0.1666666667,0.2,0.4,0.8,0.5,0.1666666667,0.3333333333,2,5,0.42,-0.59,0.48
8,52,0.2,0.1666666667,0.6,0.2,0.8,0.6666666667,0.3333333333,0,3,4,0.45,0.05,0.46
8,53,0.2,0.1666666667,0.4,0.8,0.6,0.6666666667,0.1666666667,0.1666666667,3,7,0.46,-0.11,0.48
9,0,0.8571428571,0.75,1,0.8571428571,0.85714286,0.75,0.75,0.75,0,0,0.76,-0.65,0.77
9,1,0.8571428571,0.75,1,1,1,0.75,0.75,0.625,2,4,0.7,-0.13,0.72
9,2,1,0.75,1,0.8571428571,1,0.75,0.75,0.625,0,2,0.76,-0.4,0.72
9,3,1,0.875,1,0.7142857143,1,0.75,0.75,0.875,0,0,0.7,-0.33,0.76
9,4,0.8571428571,0.625,1,0.8571428571,1,0.75,0.75,0.5,0,3,0.76,-0.26,0.76
9,5,1,0.75,1,0.8571428571,1,0.75,0.75,0.875,0,1,0.68,-0.1,0.82
9,6,0.7142857143,0.625,0.7142857143,1,1,0.5,0.625,0.625,0,2,0.68,-0.53,0.79
9,7,1,0.75,1,0.7142857143,1,0.75,0.75,0.75,0,0,0.67,-0.26,0.72
9,8,0.7142857143,0.625,0.7142857143,0.7142857143,0.85714286,0.625,0.625,0.625,0,0,0.67,0.16,0.78
9,9,1,0.75,1,1,1,0.75,0.75,0.75,0,0,0.7,-0.73,0.8
9,10,0.8571428571,0.75,1,0.8571428571,1,0.75,0.75,0.875,0,0,0.77,-0.06,0.82
9,11,1,0.75,1,1,1,0.75,0.75,0.75,1,1,0.73,-0.98,0.81
9,12,0.5714285714,0.375,0.5714285714,0.7142857143,0.57142857,0.625,0.375,0.5,2,2,0.68,-0.6,0.72
9,13,0.5714285714,0.5,0.5714285714,0.7142857143,0.57142857,0.375,0.375,0.25,3,7,0.64,0.01,0.6
9,14,0.5714285714,0.5,0.5714285714,0.5714285714,0.57142857,0.5,0.375,0.25,1,4,0.59,-0.22,0.6
9,15,0.5714285714,0.5,0.5714285714,0.7142857143,0.57142857,0.5,0.375,0.625,2,4,0.53,0.34,0.62
9,16,0.4285714286,0.25,0.5714285714,0.7142857143,0.57142857,0.25,0.375,0.625,1,8,0.57,-0.44,0.55
9,17,0.5714285714,0.5,0.7142857143,0.7142857143,0.71428571,0.5,0.5,0.625,1,0,0.5,0.11,0.52
9,18,0.7142857143,0.625,0.7142857143,0.7142857143,0.71428571,0.625,0.625,0.375,2,9,0.65,0.31,0.56
9,19,0.5714285714,0.5,0.7142857143,0.4285714286,0.71428571,0.5,0.5,0.125,1,0,0.43,0.06,0.42
9,20,0.7142857143,0.5,0.7142857143,0.7142857143,0.71428571,0.5,0.625,0.5,1,4,0.55,0.06,0.56
9,21,0.7142857143,0.5,0.7142857143,0.7142857143,0.71428571,0.5,0.5,0.625,1,0,0.56,0.22,0.53
9,22,1,0.75,1,1,1,0.75,0.75,0.625,0,0,0.71,-0.63,0.8
9,23,1,0.625,1,0.8571428571,1,0.75,0.75,0.875,0,2,0.77,-0.35,0.77
9,24,1,0.75,1,1,0.85714286,0.5,0.75,0.625,0,2,0.54,-0.17,0.69
9,25,0.8571428571,0.625,0.8571428571,1,0.85714286,0.625,0.625,1,0,0,0.74,-0.56,0.75
9,26,1,0.75,1,1,1,0.75,0.75,0.625,0,1,0.74,-0.3,0.7
9,27,0.7142857143,0.625,0.7142857143,1,0.85714286,0.625,0.625,0.625,1,2,0.64,0.01,0.78
9,28,0.7142857143,0.5,0.8571428571,1,1,0.75,0.625,0.75,1,0,0.61,-0.13,0.64
9,29,0.8571428571,0.625,0.8571428571,0.8571428571,1,0.875,0.625,0.625,1,1,0.63,0.05,0.79
9,30,1,0.75,1,1,1,0.75,0.75,0.875,0,0,0.61,-0.87,0.77
9,31,0.7142857143,0.5,0.7142857143,0.7142857143,0.71428571,0.5,0.5,0.5,1,0,0.46,0.13,0.54
9,32,0.7142857143,0.5,0.7142857143,0.7142857143,0.57142857,0.625,0.5,0.375,2,4,0.63,0.31,0.58
9,33,0.5714285714,0.5,0.7142857143,0.2857142857,0.71428571,0.5,0.5,0,1,0,0.47,0.19,0.37
9,34,0.7142857143,0.5,0.7142857143,0.7142857143,0.71428571,0.5,0.5,0.625,1,0,0.55,0.26,0.55
9,35,0.7142857143,0.5,0.7142857143,0.7142857143,0.71428571,0.5,0.5,0.375,1,2,0.59,0.25,0.48
9,36,0.7142857143,0.625,0.7142857143,0.7142857143,0.71428571,0.5,0.5,0.5,1,0,0.49,0.04,0.52
9,37,0.7142857143,0.5,0.7142857143,0.7142857143,0.71428571,0.5,0.5,0.5,1,0,0.6,0,0.53
9,38,0.4285714286,0.375,0.7142857143,0.4285714286,0.85714286,0.5,0.375,0,1,0,0.46,0,0.33
9,39,0.7142857143,0.625,0.5714285714,0.7142857143,0.71428571,0.625,0.625,0.625,1,0,0.54,0.14,0.53
9,40,0.7142857143,0.5,0.7142857143,0.7142857143,0.71428571,0.625,0.5,0.5,1,0,0.52,-0.21,0.53
9,41,0.8571428571,0.5,1,1,1,0.75,0.75,0.5,0,0,0.75,-0.58,0.75
9,42,0.5714285714,0.5,0.5714285714,0.5714285714,0.57142857,0.5,0.375,0.5,2,4,0.67,0.09,0.61
9,43,0.5714285714,0.5,0.5714285714,0.5714285714,0.57142857,0.25,0.375,0.25,0,0,0.52,-0.06,0.47
9,44,0.5714285714,0.625,0.5714285714,0.4285714286,0.57142857,0.375,0.375,0.375,1,1,0.48,0.12,0.62
9,45,0.5714285714,0.375,0.5714285714,0.8571428571,0.57142857,0.375,0.375,0.375,0,0,0.62,-0.48,0.61
9,46,0.2857142857,0.625,0.2857142857,0.4285714286,0.28571429,0.375,0.5,0.375,2,4,0.42,-0.21,0.41
9,47,0.2857142857,0.375,0.5714285714,0.4285714286,0.42857143,0.25,0.375,0.25,3,8,0.55,-0.11,0.55
9,48,0.2857142857,0.5,0.4285714286,0.4285714286,0.71428571,0.375,0.375,0.375,3,9,0.41,-0.55,0.53
9,49,0.4285714286,0.5,0.4285714286,0.5714285714,0.42857143,0.375,0.375,0.375,1,2,0.51,-0.53,0.58
9,50,0.4285714286,0.375,0.4285714286,0.2857142857,0.57142857,0.375,0.375,0.375,3,7,0.46,-0.51,0.54
9,51,0.5714285714,0.5,0.5714285714,0.5714285714,0.57142857,0.5,0.5,0.5,1,0,0.46,-0.24,0.35
