ID,Prompt,Image,Image Source,New filename,Rank order (higher is “farther away” from start),Rank order (higher is “farther away” from start)
5,A woman is showing a scooter to another woman.,5_A woman is showing a woman on a scooter._0.png,SD2.0,5-0.png,0,0
5,A woman is showing a scooter to another woman.,5_A woman is showing a woman on a scooter._1.png,SD2.0,5-1.png,0,0
5,A woman is showing a scooter to another woman.,5_A woman is showing a woman on a scooter._2.png,SD2.0,5-2.png,0,0
5,A woman is showing a scooter to another woman.,5_A woman is showing a woman on a scooter._3.png,SD2.0,5-3.png,0,0
5,A woman is showing a scooter to another woman.,5_A woman is showing a woman on a scooter._4.png,SD2.0,5-4.png,0,0
5,A woman is showing a scooter to another woman.,5_A woman is showing a watermelon slice to a woman._0.png,SD2.0,5-5.png,1,1
5,A woman is showing a scooter to another woman.,5_A woman is showing a watermelon slice to a woman._1.png,SD2.0,5-6.png,1,1
5,A woman is showing a scooter to another woman.,5_A woman is showing a watermelon slice to a woman._2.png,SD2.0,5-7.png,1,1
5,A woman is showing a scooter to another woman.,5_A woman is showing a watermelon slice to a woman._3.png,SD2.0,5-8.png,1,1
5,A woman is showing a scooter to another woman.,5_A woman is showing a watermelon slice to a woman._4.png,SD2.0,5-9.png,1,1
5,A woman is showing a scooter to another woman.,5_A woman on a scooter._0.png,SD2.0,5-10.png,2a,2
5,A woman is showing a scooter to another woman.,5_A woman on a scooter._1.png,SD2.0,5-11.png,2a,2
5,A woman is showing a scooter to another woman.,5_A woman on a scooter._2.png,SD2.0,5-12.png,2a,2
5,A woman is showing a scooter to another woman.,5_A woman on a scooter._3.png,SD2.0,5-13.png,2a,2
5,A woman is showing a scooter to another woman.,5_A woman on a scooter._4.png,SD2.0,5-14.png,2a,2
5,A woman is showing a scooter to another woman.,5_A watermelon slice to a woman._0.png,SD2.0,5-15.png,2b,2
5,A woman is showing a scooter to another woman.,5_A watermelon slice to a woman._2.png,SD2.0,5-16.png,2b,2
5,A woman is showing a scooter to another woman.,5_A watermelon slice to a woman._3.png,SD2.0,5-17.png,2b,2
5,A woman is showing a scooter to another woman.,5_A watermelon slice to a woman._4.png,SD2.0,5-18.png,2b,2
5,A woman is showing a scooter to another woman.,5_A woman with a watermelon slice._1.png,SD2.0,5-19.png,2c,2
5,A woman is showing a scooter to another woman.,5_A woman with a watermelon slice._2.png,SD2.0,5-20.png,2c,2
5,A woman is showing a scooter to another woman.,5_A woman with a watermelon slice._3.png,SD2.0,5-21.png,2c,2
5,A woman is showing a scooter to another woman.,5_A woman with a watermelon slice._4.png,SD2.0,5-22.png,2c,2
5,A woman is showing a scooter to another woman.,5_A watermelon slice._0.png,SD2.0,5-23.png,3a,3
5,A woman is showing a scooter to another woman.,5_A watermelon slice._1.png,SD2.0,5-24.png,3a,3
5,A woman is showing a scooter to another woman.,5_A watermelon slice._2.png,SD2.0,5-25.png,3a,3
5,A woman is showing a scooter to another woman.,5_A watermelon slice._3.png,SD2.0,5-26.png,3a,3
5,A woman is showing a scooter to another woman.,5_A watermelon slice._4.png,SD2.0,5-27.png,3a,3
5,A woman is showing a scooter to another woman.,5_A scooter._0.png,SD2.0,5-28.png,3b,3
5,A woman is showing a scooter to another woman.,5_A scooter._1.png,SD2.0,5-29.png,3b,3
5,A woman is showing a scooter to another woman.,5_A scooter._2.png,SD2.0,5-30.png,3b,3
5,A woman is showing a scooter to another woman.,5_A scooter._3.png,SD2.0,5-31.png,3b,3
6,A man in a green suiit leaning over a laptop,coco_494732_stable_diffusion_v2_1.jpg,SD2.1,6-0.jpg,0,0
6,A man in a green suiit leaning over a laptop,6_A man in a green suit leaning over._0.png,SD2.0,6-1.png,1a,1
6,A man in a green suiit leaning over a laptop,6_A man in a green suit leaning over._3.png,SD2.0,6-2.png,1a,1
6,A man in a green suiit leaning over a laptop,6_A man in a green suit leaning over._4.png,SD2.0,6-3.png,1a,1
6,A man in a green suiit leaning over a laptop,6_A man leaning over a laptop._0.png,SD2.0,6-4.png,1b,1
6,A man in a green suiit leaning over a laptop,6_A man leaning over a laptop._1.png,SD2.0,6-5.png,1b,1
6,A man in a green suiit leaning over a laptop,6_A man leaning over a laptop._2.png,SD2.0,6-6.png,1b,1
6,A man in a green suiit leaning over a laptop,6_A man leaning over a laptop._4.png,SD2.0,6-7.png,1b,1
6,A man in a green suiit leaning over a laptop,6_A green suit._1.png,SD2.0,6-8.png,2a,2
6,A man in a green suiit leaning over a laptop,6_A green suit._2.png,SD2.0,6-9.png,2a,2
6,A man in a green suiit leaning over a laptop,6_A green suit._3.png,SD2.0,6-10.png,2a,2
6,A man in a green suiit leaning over a laptop,6_A green suit._4.png,SD2.0,6-11.png,2a,2
6,A man in a green suiit leaning over a laptop,6_A man leaning over._0.png,SD2.0,6-12.png,2b,2
6,A man in a green suiit leaning over a laptop,6_A man leaning over._1.png,SD2.0,6-13.png,2b,2
6,A man in a green suiit leaning over a laptop,6_A man leaning over._3.png,SD2.0,6-14.png,2b,2
6,A man in a green suiit leaning over a laptop,6_A man leaning over._4.png,SD2.0,6-15.png,2b,2
6,A man in a green suiit leaning over a laptop,6_A laptop._1.png,SD2.0,6-16.png,2c,2
6,A man in a green suiit leaning over a laptop,6_A laptop._2.png,SD2.0,6-17.png,2c,2
6,A man in a green suiit leaning over a laptop,6_A laptop._3.png,SD2.0,6-18.png,2c,2
6,A man in a green suiit leaning over a laptop,6_A laptop._4.png,SD2.0,6-19.png,2c,2
7,A woman holding a racquet on top of a tennis court.,coco_492730_stable_diffusion_v2_1.jpg,SD2.1,7-0.jpg,0,0
7,A woman holding a racquet on top of a tennis court.,7_A woman on top of a tennis court._0.png,SD2.0,7-1.png,1a,1
7,A woman holding a racquet on top of a tennis court.,7_A woman on top of a tennis court._1.png,SD2.0,7-2.png,1a,1
7,A woman holding a racquet on top of a tennis court.,7_A woman on top of a tennis court._2.png,SD2.0,7-3.png,1a,1
7,A woman holding a racquet on top of a tennis court.,7_A woman on top of a tennis court._3.png,SD2.0,7-4.png,1a,1
7,A woman holding a racquet on top of a tennis court.,7_A woman on top of a tennis court._4.png,SD2.0,7-5.png,1a,1
7,A woman holding a racquet on top of a tennis court.,7_A woman holding a racquet._0.png,SD2.0,7-6.png,1b,1
7,A woman holding a racquet on top of a tennis court.,7_A woman holding a racquet._1.png,SD2.0,7-7.png,1b,1
7,A woman holding a racquet on top of a tennis court.,7_A woman holding a racquet._2.png,SD2.0,7-8.png,1b,1
7,A woman holding a racquet on top of a tennis court.,7_A woman holding a racquet._3.png,SD2.0,7-9.png,1b,1
7,A woman holding a racquet on top of a tennis court.,7_A woman holding a racquet._4.png,SD2.0,7-10.png,1b,1
7,A woman holding a racquet on top of a tennis court.,7_A racquet in a tennis court._0.png,SD2.0,7-11.png,1c,1
7,A woman holding a racquet on top of a tennis court.,7_A racquet in a tennis court._1.png,SD2.0,7-12.png,1c,1
7,A woman holding a racquet on top of a tennis court.,7_A racquet in a tennis court._2.png,SD2.0,7-13.png,1c,1
7,A woman holding a racquet on top of a tennis court.,7_A racquet in a tennis court._3.png,SD2.0,7-14.png,1c,1
7,A woman holding a racquet on top of a tennis court.,7_A racquet in a tennis court._4.png,SD2.0,7-15.png,1c,1
7,A woman holding a racquet on top of a tennis court.,7_A tennis court._0.png,SD2.0,7-16.png,2a,2
7,A woman holding a racquet on top of a tennis court.,7_A tennis court._1.png,SD2.0,7-17.png,2a,2
7,A woman holding a racquet on top of a tennis court.,7_A tennis court._2.png,SD2.0,7-18.png,2a,2
7,A woman holding a racquet on top of a tennis court.,7_A tennis court._3.png,SD2.0,7-19.png,2a,2
7,A woman holding a racquet on top of a tennis court.,7_A tennis court._4.png,SD2.0,7-20.png,2a,2
7,A woman holding a racquet on top of a tennis court.,7_A woman._0.png,SD2.0,7-21.png,2b,2
7,A woman holding a racquet on top of a tennis court.,7_A woman._2.png,SD2.0,7-22.png,2b,2
7,A woman holding a racquet on top of a tennis court.,7_A woman._3.png,SD2.0,7-23.png,2b,2
7,A woman holding a racquet on top of a tennis court.,7_A racquet._0.png,SD2.0,7-24.png,2c,2
7,A woman holding a racquet on top of a tennis court.,7_A racquet._1.png,SD2.0,7-25.png,2c,2
7,A woman holding a racquet on top of a tennis court.,7_A racquet._2.png,SD2.0,7-26.png,2c,2
7,A woman holding a racquet on top of a tennis court.,7_A racquet._3.png,SD2.0,7-27.png,2c,2
7,A woman holding a racquet on top of a tennis court.,7_A racquet._4.png,SD2.0,7-28.png,2c,2
8,"One laptop, a mouse, cords, wires, and a monitor.",8_two laptops a mouse cords wires and a monitor_0.png,SD2.0,8-0.png,0,0
8,"One laptop, a mouse, cords, wires, and a monitor.","8_Two laptops, a mouse, cords, and a monitor._2.png",SD2.0,8-1.png,1a,1
8,"One laptop, a mouse, cords, wires, and a monitor.","8_Two laptops, a mouse, cords, and a monitor._3.png",SD2.0,8-2.png,1a,1
8,"One laptop, a mouse, cords, wires, and a monitor.","8_Two laptops, cords, wires, and a monitor._2.png",SD2.0,8-3.png,1b,1
8,"One laptop, a mouse, cords, wires, and a monitor.","8_Two laptops, cords, wires, and a monitor._3.png",SD2.0,8-4.png,1b,1
8,"One laptop, a mouse, cords, wires, and a monitor.","8_Two laptops, a mouse, cords, and wires._2.png",SD2.0,8-5.png,1c,1
8,"One laptop, a mouse, cords, wires, and a monitor.","8_Two laptops, a mouse, cords, and wires._4.png",SD2.0,8-6.png,1c,1
8,"One laptop, a mouse, cords, wires, and a monitor.","8_Two laptops, a mouse, and a monitor._2.png",SD2.0,8-7.png,1d,1
8,"One laptop, a mouse, cords, wires, and a monitor.","8_Two laptops, cords, and wires._0.png",SD2.0,8-8.png,1e,1
8,"One laptop, a mouse, cords, wires, and a monitor.","8_Two laptops, cords, and wires._1.png",SD2.0,8-9.png,1e,1
8,"One laptop, a mouse, cords, wires, and a monitor.","8_Two laptops, cords, and wires._2.png",SD2.0,8-10.png,1e,1
8,"One laptop, a mouse, cords, wires, and a monitor.","8_Two laptops, cords, and wires._3.png",SD2.0,8-11.png,1e,1
8,"One laptop, a mouse, cords, wires, and a monitor.","8_Two laptops, cords, and wires._4.png",SD2.0,8-12.png,1e,1
8,"One laptop, a mouse, cords, wires, and a monitor.","8_Two laptops, a mouse, and wires._0.png",SD2.0,8-13.png,1f,1
8,"One laptop, a mouse, cords, wires, and a monitor.","8_Two laptops, a mouse, and wires._1.png",SD2.0,8-14.png,1f,1
8,"One laptop, a mouse, cords, wires, and a monitor.","8_Two laptops, a mouse, and wires._2.png",SD2.0,8-15.png,1f,1
8,"One laptop, a mouse, cords, wires, and a monitor.","8_Two laptops, cords, and a monitor._2.png",SD2.0,8-16.png,1g,1
8,"One laptop, a mouse, cords, wires, and a monitor.","8_Two laptops, cords, and a monitor._3.png",SD2.0,8-17.png,1g,1
8,"One laptop, a mouse, cords, wires, and a monitor.","8_Two laptops, a mouse, and cords._2.png",SD2.0,8-18.png,1h,1
8,"One laptop, a mouse, cords, wires, and a monitor.","8_Two laptops, a mouse, and cords._3.png",SD2.0,8-19.png,1h,1
8,"One laptop, a mouse, cords, wires, and a monitor.","8_Two laptops, a mouse, and cords._4.png",SD2.0,8-20.png,1h,1
8,"One laptop, a mouse, cords, wires, and a monitor.","8_Two laptops, and a monitor._0.png",SD2.0,8-21.png,2a,2
8,"One laptop, a mouse, cords, wires, and a monitor.","8_Two laptops, and a monitor._2.png",SD2.0,8-22.png,2a,2
8,"One laptop, a mouse, cords, wires, and a monitor.","8_Two laptops, and a monitor._3.png",SD2.0,8-23.png,2a,2
8,"One laptop, a mouse, cords, wires, and a monitor.","8_Two laptops, and a monitor._4.png",SD2.0,8-24.png,2a,2
8,"One laptop, a mouse, cords, wires, and a monitor.","8_Two laptops, and wires._0.png",SD2.0,8-25.png,2b,2
8,"One laptop, a mouse, cords, wires, and a monitor.","8_Two laptops, and wires._1.png",SD2.0,8-26.png,2b,2
8,"One laptop, a mouse, cords, wires, and a monitor.","8_Two laptops, and wires._2.png",SD2.0,8-27.png,2b,2
8,"One laptop, a mouse, cords, wires, and a monitor.","8_Two laptops, and wires._3.png",SD2.0,8-28.png,2b,2
8,"One laptop, a mouse, cords, wires, and a monitor.","8_Two laptops, and wires._4.png",SD2.0,8-29.png,2b,2
8,"One laptop, a mouse, cords, wires, and a monitor.","8_Two laptops, and cords._0.png",SD2.0,8-30.png,2c,2
8,"One laptop, a mouse, cords, wires, and a monitor.","8_Two laptops, and cords._2.png",SD2.0,8-31.png,2c,2
8,"One laptop, a mouse, cords, wires, and a monitor.","8_Two laptops, and cords._3.png",SD2.0,8-32.png,2c,2
8,"One laptop, a mouse, cords, wires, and a monitor.","8_Two laptops, and cords._4.png",SD2.0,8-33.png,2c,2
8,"One laptop, a mouse, cords, wires, and a monitor.",8_Two laptops._0.png,SD2.0,8-34.png,3a,3
8,"One laptop, a mouse, cords, wires, and a monitor.",8_Two laptops._1.png,SD2.0,8-35.png,3a,3
8,"One laptop, a mouse, cords, wires, and a monitor.",8_Two laptops._2.png,SD2.0,8-36.png,3a,3
8,"One laptop, a mouse, cords, wires, and a monitor.",8_Two laptops._3.png,SD2.0,8-37.png,3a,3
8,"One laptop, a mouse, cords, wires, and a monitor.",8_Two laptops._4.png,SD2.0,8-38.png,3a,3
8,"One laptop, a mouse, cords, wires, and a monitor.",8_A mouse._0.png,SD2.0,8-39.png,3b,3
8,"One laptop, a mouse, cords, wires, and a monitor.",8_A mouse._1.png,SD2.0,8-40.png,3b,3
8,"One laptop, a mouse, cords, wires, and a monitor.",8_A mouse._2.png,SD2.0,8-41.png,3b,3
8,"One laptop, a mouse, cords, wires, and a monitor.",8_A mouse._3.png,SD2.0,8-42.png,3b,3
8,"One laptop, a mouse, cords, wires, and a monitor.",8_A mouse._4.png,SD2.0,8-43.png,3b,3
8,"One laptop, a mouse, cords, wires, and a monitor.",8_Cords._0.png,SD2.0,8-44.png,3c,3
8,"One laptop, a mouse, cords, wires, and a monitor.",8_Cords._1.png,SD2.0,8-45.png,3c,3
8,"One laptop, a mouse, cords, wires, and a monitor.",8_Cords._2.png,SD2.0,8-46.png,3c,3
8,"One laptop, a mouse, cords, wires, and a monitor.",8_Cords._3.png,SD2.0,8-47.png,3c,3
8,"One laptop, a mouse, cords, wires, and a monitor.",8_Cords._4.png,SD2.0,8-48.png,3c,3
8,"One laptop, a mouse, cords, wires, and a monitor.",8_A monitor._0.png,SD2.0,8-49.png,3d,3
8,"One laptop, a mouse, cords, wires, and a monitor.",8_A monitor._1.png,SD2.0,8-50.png,3d,3
8,"One laptop, a mouse, cords, wires, and a monitor.",8_A monitor._2.png,SD2.0,8-51.png,3d,3
8,"One laptop, a mouse, cords, wires, and a monitor.",8_A monitor._3.png,SD2.0,8-52.png,3d,3
8,"One laptop, a mouse, cords, wires, and a monitor.",8_A monitor._4.png,SD2.0,8-53.png,3d,3
9,A young man in a suit and tie with a beer in his hand.,coco_98071_stable_diffusion_v2_1.jpg,SD2.1,9-0.jpg,0,0
9,A young man in a suit and tie with a beer in his hand.,9_A young man in a suit with a beer in his hand._0.png,SD2.0,9-1.png,1a,1
9,A young man in a suit and tie with a beer in his hand.,9_A young man in a suit with a beer in his hand._1.png,SD2.0,9-2.png,1a,1
9,A young man in a suit and tie with a beer in his hand.,9_A young man in a suit with a beer in his hand._2.png,SD2.0,9-3.png,1a,1
9,A young man in a suit and tie with a beer in his hand.,9_A young man in a suit with a beer in his hand._4.png,SD2.0,9-4.png,1a,1
9,A young man in a suit and tie with a beer in his hand.,9_A young man in a tie with a beer in his hand._0.png,SD2.0,9-5.png,1b,1
9,A young man in a suit and tie with a beer in his hand.,9_A young man in a tie with a beer in his hand._1.png,SD2.0,9-6.png,1b,1
9,A young man in a suit and tie with a beer in his hand.,9_A young man in a tie with a beer in his hand._2.png,SD2.0,9-7.png,1b,1
9,A young man in a suit and tie with a beer in his hand.,9_A young man in a tie with a beer in his hand._3.png,SD2.0,9-8.png,1b,1
9,A young man in a suit and tie with a beer in his hand.,9_A young man in a tie with a beer in his hand._4.png,SD2.0,9-9.png,1b,1
9,A young man in a suit and tie with a beer in his hand.,9_A young man in a suit and tie with a beer._1.png,SD2.0,9-10.png,1c,1
9,A young man in a suit and tie with a beer in his hand.,9_A young man in a suit and tie with a beer._4.png,SD2.0,9-11.png,1c,1
9,A young man in a suit and tie with a beer in his hand.,9_A young man with a beer in his hand._0.png,SD2.0,9-12.png,2a,2
9,A young man in a suit and tie with a beer in his hand.,9_A young man with a beer in his hand._1.png,SD2.0,9-13.png,2a,2
9,A young man in a suit and tie with a beer in his hand.,9_A young man with a beer in his hand._2.png,SD2.0,9-14.png,2a,2
9,A young man in a suit and tie with a beer in his hand.,9_A young man with a beer in his hand._3.png,SD2.0,9-15.png,2a,2
9,A young man in a suit and tie with a beer in his hand.,9_A young man with a beer in his hand._4.png,SD2.0,9-16.png,2a,2
9,A young man in a suit and tie with a beer in his hand.,9_A young man in a suit and tie._0.png,SD2.0,9-17.png,2b,2
9,A young man in a suit and tie with a beer in his hand.,9_A young man in a suit and tie._1.png,SD2.0,9-18.png,2b,2
9,A young man in a suit and tie with a beer in his hand.,9_A young man in a suit and tie._2.png,SD2.0,9-19.png,2b,2
9,A young man in a suit and tie with a beer in his hand.,9_A young man in a suit and tie._3.png,SD2.0,9-20.png,2b,2
9,A young man in a suit and tie with a beer in his hand.,9_A young man in a suit and tie._4.png,SD2.0,9-21.png,2b,2
9,A young man in a suit and tie with a beer in his hand.,9_A young man in a suit with a beer._0.png,SD2.0,9-22.png,2c,2
9,A young man in a suit and tie with a beer in his hand.,9_A young man in a suit with a beer._2.png,SD2.0,9-23.png,2c,2
9,A young man in a suit and tie with a beer in his hand.,9_A young man in a suit with a beer._3.png,SD2.0,9-24.png,2c,2
9,A young man in a suit and tie with a beer in his hand.,9_A young man in a suit with a beer._4.png,SD2.0,9-25.png,2c,2
9,A young man in a suit and tie with a beer in his hand.,9_A young man in a tie with a beer._0.png,SD2.0,9-26.png,2d,2
9,A young man in a suit and tie with a beer in his hand.,9_A young man in a tie with a beer._1.png,SD2.0,9-27.png,2d,2
9,A young man in a suit and tie with a beer in his hand.,9_A young man in a tie with a beer._2.png,SD2.0,9-28.png,2d,2
9,A young man in a suit and tie with a beer in his hand.,9_A young man in a tie with a beer._3.png,SD2.0,9-29.png,2d,2
9,A young man in a suit and tie with a beer in his hand.,9_A young man in a tie with a beer._4.png,SD2.0,9-30.png,2d,2
9,A young man in a suit and tie with a beer in his hand.,9_A young man in a suit._0.png,SD2.0,9-31.png,3a,3
9,A young man in a suit and tie with a beer in his hand.,9_A young man in a suit._1.png,SD2.0,9-32.png,3a,3
9,A young man in a suit and tie with a beer in his hand.,9_A young man in a suit._2.png,SD2.0,9-33.png,3a,3
9,A young man in a suit and tie with a beer in his hand.,9_A young man in a suit._3.png,SD2.0,9-34.png,3a,3
9,A young man in a suit and tie with a beer in his hand.,9_A young man in a suit._4.png,SD2.0,9-35.png,3a,3
9,A young man in a suit and tie with a beer in his hand.,9_A young man in a tie._0.png,SD2.0,9-36.png,3b,3
9,A young man in a suit and tie with a beer in his hand.,9_A young man in a tie._1.png,SD2.0,9-37.png,3b,3
9,A young man in a suit and tie with a beer in his hand.,9_A young man in a tie._2.png,SD2.0,9-38.png,3b,3
9,A young man in a suit and tie with a beer in his hand.,9_A young man in a tie._3.png,SD2.0,9-39.png,3b,3
9,A young man in a suit and tie with a beer in his hand.,9_A young man in a tie._4.png,SD2.0,9-40.png,3b,3
9,A young man in a suit and tie with a beer in his hand.,9_A young man with a beer._0.png,SD2.0,9-41.png,3c,3
9,A young man in a suit and tie with a beer in his hand.,9_A young man with a beer._1.png,SD2.0,9-42.png,3c,3
9,A young man in a suit and tie with a beer in his hand.,9_A young man with a beer._2.png,SD2.0,9-43.png,3c,3
9,A young man in a suit and tie with a beer in his hand.,9_A young man with a beer._3.png,SD2.0,9-44.png,3c,3
