id,prompt,question_id,question,choices,answer
7,A woman holding a racquet on top of a tennis court.,3,what is the woman holding?,racquet|ball|bat|club,racquet
7,A woman holding a racquet on top of a tennis court.,4,is this a tennis court?,yes|no,yes
7,A woman holding a racquet on top of a tennis court.,5,where is the woman standing?,on top of the tennis court|inside the tennis court|outside the tennis court|next to the tennis court,on top of the tennis court
7,A woman holding a racquet on top of a tennis court.,6,is the woman holding a racquet?,yes|no,yes
7,A woman holding a racquet on top of a tennis court.,7,is the woman on top of the tennis court?,yes|no,yes
7,A woman holding a racquet on top of a tennis court.,8,is the woman on top of the tennis court or inside the tennis court?,on top of|inside|outside|next to,on top of
8,"One laptop, a mouse, cords, wires, and a monitor.",0,is there a laptop?,yes|no,yes
8,"One laptop, a mouse, cords, wires, and a monitor.",1,is there a mouse?,yes|no,yes
8,"One laptop, a mouse, cords, wires, and a monitor.",2,are there cords?,yes|no,yes
8,"One laptop, a mouse, cords, wires, and a monitor.",3,are there wires?,yes|no,yes
8,"One laptop, a mouse, cords, wires, and a monitor.",4,is there a monitor?,yes|no,yes
9,A young man in a suit and tie with a beer in his hand.,0,is this a man?,yes|no,yes
9,A young man in a suit and tie with a beer in his hand.,1,what age group does the man belong to?,young|middle-aged|old|teenager,young
10,A man is eating a loaded hot dog with people around him.,0,is there a man?,yes|no,yes
10,A man is eating a loaded hot dog with people around him.,1,is there a hot dog?,yes|no,yes
10,A man is eating a loaded hot dog with people around him.,2,what is the man eating?,hot dog|hamburger|pizza|sandwich,hot dog
10,A man is eating a loaded hot dog with people around him.,3,are there people around the man?,yes|no,yes
10,A man is eating a loaded hot dog with people around him.,4,is the man eating?,yes|no,yes
10,A man is eating a loaded hot dog with people around him.,5,is the hot dog loaded?,yes|no,yes
10,A man is eating a loaded hot dog with people around him.,6,what is the hot dog like?,loaded|plain|spicy|sweet,loaded
11,A man in a wet suit is surfing.,0,is this a man?,yes|no,yes
11,A man in a wet suit is surfing.,1,what is the person doing?,surfing|swimming|diving|fishing,surfing
11,A man in a wet suit is surfing.,2,is the man wearing a wet suit?,yes|no,yes
11,A man in a wet suit is surfing.,3,what is the man wearing?,wet suit|swimsuit|t-shirt|shorts,wet suit
11,A man in a wet suit is surfing.,4,is the man surfing?,yes|no,yes
12,A red motorcycle parked by paint chipped doors.,0,is there a motorcycle?,yes|no,yes
12,A red motorcycle parked by paint chipped doors.,1,are there doors?,yes|no,yes
12,A red motorcycle parked by paint chipped doors.,2,is the motorcycle red?,yes|no,yes
12,A red motorcycle parked by paint chipped doors.,3,what color is the motorcycle?,red|black|white|blue,red
12,A red motorcycle parked by paint chipped doors.,4,is the motorcycle parked?,yes|no,yes
12,A red motorcycle parked by paint chipped doors.,5,are the doors paint chipped?,yes|no,yes
12,A red motorcycle parked by paint chipped doors.,6,what is the condition of the doors?,paint chipped|brand new|rusty|scratched,paint chipped
13,A man in a black shirt plays on an ocean wave.,0,is this a man?,yes|no,yes
13,A man in a black shirt plays on an ocean wave.,1,who is playing on an ocean wave?,man|woman|boy|girl,man
13,A man in a black shirt plays on an ocean wave.,2,is the man wearing a black shirt?,yes|no,yes
13,A man in a black shirt plays on an ocean wave.,3,what is the man wearing?,black shirt|white shirt|blue shirt|red shirt,black shirt
13,A man in a black shirt plays on an ocean wave.,4,is there an ocean wave?,yes|no,yes
13,A man in a black shirt plays on an ocean wave.,5,what is the man playing on?,ocean wave|sand dune|mountain|hill,ocean wave
13,A man in a black shirt plays on an ocean wave.,6,is the man playing on an ocean wave?,yes|no,yes
14,The people are flying the kites,0,are there people?,yes|no,yes
14,The people are flying the kites,1,are there kites?,yes|no,yes
14,The people are flying the kites,2,are the people flying the kites?,yes|no,yes
15,a large clock hangs from a building,0,is there a clock?,yes|no,yes
15,a large clock hangs from a building,1,what is hanging from the building?,clock|sign|flag|banner,clock
15,a large clock hangs from a building,2,is there a building?,yes|no,yes
15,a large clock hangs from a building,3,what type of structure is this?,building|house|tower|bridge,building
15,a large clock hangs from a building,4,is the clock large?,yes|no,yes
15,a large clock hangs from a building,5,is the clock large or small?,large|small|medium|extra large,large
15,a large clock hangs from a building,6,is the clock hanging from the building?,yes|no,yes
15,a large clock hangs from a building,7,is the clock hanging from the building or standing on the ground?,hanging from|standing on|leaning against|floating above,hanging from
16,A sheep with short hair stands under a fence.,0,is there a sheep?,yes|no,yes
16,A sheep with short hair stands under a fence.,1,what animal is under the fence?,sheep|cow|horse|goat,sheep
16,A sheep with short hair stands under a fence.,2,does the sheep have short hair?,yes|no,yes
16,A sheep with short hair stands under a fence.,3,what type of hair does the sheep have?,short|long|curly|straight,short
16,A sheep with short hair stands under a fence.,4,is there a fence?,yes|no,yes
16,A sheep with short hair stands under a fence.,5,what is the sheep standing under?,fence|tree|roof|bridge,fence
17,A male rider on a midsized horse in a field with a woman standing.,0,is there a rider?,yes|no,yes
17,A male rider on a midsized horse in a field with a woman standing.,1,who is on the horse?,rider|driver|passenger|pedestrian,rider
17,A male rider on a midsized horse in a field with a woman standing.,2,is this a horse?,yes|no,yes
17,A male rider on a midsized horse in a field with a woman standing.,3,what animal is in the field?,horse|cow|sheep|goat,horse
17,A male rider on a midsized horse in a field with a woman standing.,4,is this a field?,yes|no,yes
17,A male rider on a midsized horse in a field with a woman standing.,5,what type of place is this?,field|park|garden|forest,field
17,A male rider on a midsized horse in a field with a woman standing.,6,is there a woman?,yes|no,yes
17,A male rider on a midsized horse in a field with a woman standing.,7,is the rider riding the horse?,yes|no,yes
17,A male rider on a midsized horse in a field with a woman standing.,8,is the woman standing?,yes|no,yes
17,A male rider on a midsized horse in a field with a woman standing.,9,is the horse midsized?,yes|no,yes
18,Black and white photograph of a bed with a laptop on it.,0,is there a bed?,yes|no,yes
18,Black and white photograph of a bed with a laptop on it.,1,is there a laptop?,yes|no,yes
18,Black and white photograph of a bed with a laptop on it.,2,is the photograph black and white?,yes|no,yes
18,Black and white photograph of a bed with a laptop on it.,3,what color is the photograph?,black and white|color|sepia|grayscale,black and white
18,Black and white photograph of a bed with a laptop on it.,4,is this a photograph?,yes|no,yes
18,Black and white photograph of a bed with a laptop on it.,5,"is this a photograph, a painting, or a drawing?",photograph|painting|drawing|sculpture,photograph
19,A boy standing in the door of a bus.,0,is this a boy?,yes|no,yes
19,A boy standing in the door of a bus.,1,who is standing in the door of the bus?,boy|girl|man|woman,boy
19,A boy standing in the door of a bus.,2,is this a bus?,yes|no,yes
19,A boy standing in the door of a bus.,3,what type of vehicle is this?,bus|car|truck|van,bus
19,A boy standing in the door of a bus.,4,is there a door?,yes|no,yes
19,A boy standing in the door of a bus.,5,what is in the picture?,door|window|seat|steering wheel,door
19,A boy standing in the door of a bus.,6,is the boy standing?,yes|no,yes
20,a grand piano with a white bench,0,is there a grand piano?,yes|no,yes
20,a grand piano with a white bench,1,what type of musical instrument is this?,grand piano|guitar|violin|drums,grand piano
20,a grand piano with a white bench,2,is there a white bench?,yes|no,yes
20,a grand piano with a white bench,3,what type of furniture is this?,bench|chair|sofa|table,bench
21,a flock of geese in front of The Alamo,0,is there a flock?,yes|no,yes
21,a flock of geese in front of The Alamo,1,are there geese?,yes|no,yes
21,a flock of geese in front of The Alamo,2,is this The Alamo?,yes|no,yes
21,a flock of geese in front of The Alamo,3,what is in front of The Alamo?,flock of geese|group of ducks|herd of cows|pack of wolves,flock of geese
21,a flock of geese in front of The Alamo,4,are the geese in front of The Alamo?,yes|no,yes
22,a stained glass window depicting a calm tyrannosaurus rex,0,is there a stained glass window?,yes|no,yes
22,a stained glass window depicting a calm tyrannosaurus rex,1,what type of window is this?,stained glass window|clear glass window|wooden window|metal window,stained glass window
22,a stained glass window depicting a calm tyrannosaurus rex,2,is there a tyrannosaurus rex?,yes|no,yes
22,a stained glass window depicting a calm tyrannosaurus rex,3,what dinosaur is depicted in the stained glass window?,tyrannosaurus rex|triceratops|velociraptor|stegosaurus,tyrannosaurus rex
22,a stained glass window depicting a calm tyrannosaurus rex,4,is the tyrannosaurus rex calm?,yes|no,yes
22,a stained glass window depicting a calm tyrannosaurus rex,5,is the tyrannosaurus rex calm or aggressive?,calm|aggressive|scared|playful,calm
23,words on a blue t-shirt,0,are there words on the t-shirt?,yes|no,yes
23,words on a blue t-shirt,1,what is on the t-shirt?,words|pictures|patterns|logos,words
23,words on a blue t-shirt,2,is this a t-shirt?,yes|no,yes
23,words on a blue t-shirt,3,what type of clothing is this?,t-shirt|dress|pants|jacket,t-shirt
23,words on a blue t-shirt,4,is the t-shirt blue?,yes|no,yes
23,words on a blue t-shirt,5,what color is the t-shirt?,blue|red|yellow|green,blue
24,a snake curled around a wooden post,0,is there a snake?,yes|no,yes
24,a snake curled around a wooden post,1,is there a wooden post?,yes|no,yes
24,a snake curled around a wooden post,2,is the snake curled around the wooden post?,yes|no,yes
25,"A vehicle composed of two wheels held in a frame one behind the other, propelled by pedals and steered with handlebars attached to the front wheel.",0,is this a vehicle?,yes|no,yes
25,"A vehicle composed of two wheels held in a frame one behind the other, propelled by pedals and steered with handlebars attached to the front wheel.",1,what type of vehicle is this?,bicycle|motorcycle|car|scooter,bicycle
25,"A vehicle composed of two wheels held in a frame one behind the other, propelled by pedals and steered with handlebars attached to the front wheel.",2,are there wheels?,yes|no,yes
25,"A vehicle composed of two wheels held in a frame one behind the other, propelled by pedals and steered with handlebars attached to the front wheel.",3,what is on the vehicle?,wheels|wings|propellers|tracks,wheels
25,"A vehicle composed of two wheels held in a frame one behind the other, propelled by pedals and steered with handlebars attached to the front wheel.",4,is there a frame?,yes|no,yes
25,"A vehicle composed of two wheels held in a frame one behind the other, propelled by pedals and steered with handlebars attached to the front wheel.",5,what is the vehicle composed of?,frame|body|chassis|shell,frame
25,"A vehicle composed of two wheels held in a frame one behind the other, propelled by pedals and steered with handlebars attached to the front wheel.",6,are there pedals?,yes|no,yes
25,"A vehicle composed of two wheels held in a frame one behind the other, propelled by pedals and steered with handlebars attached to the front wheel.",7,what is used to propel the vehicle?,pedals|engine|motor|sails,pedals
25,"A vehicle composed of two wheels held in a frame one behind the other, propelled by pedals and steered with handlebars attached to the front wheel.",8,are there handlebars?,yes|no,yes
25,"A vehicle composed of two wheels held in a frame one behind the other, propelled by pedals and steered with handlebars attached to the front wheel.",9,what is used to steer the vehicle?,handlebars|steering wheel|joystick|rudder,handlebars
25,"A vehicle composed of two wheels held in a frame one behind the other, propelled by pedals and steered with handlebars attached to the front wheel.",10,is the vehicle propelled by pedals?,yes|no,yes
25,"A vehicle composed of two wheels held in a frame one behind the other, propelled by pedals and steered with handlebars attached to the front wheel.",11,is the vehicle steered with handlebars?,yes|no,yes
26,a sketch of a horse,0,is this a horse?,yes|no,yes
26,a sketch of a horse,1,what animal is in the sketch?,horse|cow|sheep|goat,horse
26,a sketch of a horse,2,is this a sketch?,yes|no,yes
26,a sketch of a horse,3,"is this a sketch, a painting, or a photograph?",sketch|painting|drawing|photograph,sketch
27,a pumpkin on a man's head,0,is there a pumpkin?,yes|no,yes
27,a pumpkin on a man's head,1,is there a man?,yes|no,yes
27,a pumpkin on a man's head,2,is the pumpkin on the man's head?,yes|no,yes
28,a photo of bike and skateboard; skateboard is right to bike,0,is there a bike?,yes|no,yes
28,a photo of bike and skateboard; skateboard is right to bike,1,is there a skateboard?,yes|no,yes
28,a photo of bike and skateboard; skateboard is right to bike,2,what is to the right of the bike?,skateboard|scooter|rollerblades|tricycle,skateboard
29,a photo of dog and stop sign; stop sign is left to dog,0,is there a dog?,yes|no,yes
29,a photo of dog and stop sign; stop sign is left to dog,1,is there a stop sign?,yes|no,yes
29,a photo of dog and stop sign; stop sign is left to dog,2,what is on the left side of the dog?,stop sign|traffic light|fire hydrant|mailbox,stop sign
29,a photo of dog and stop sign; stop sign is left to dog,3,is the stop sign left to the dog?,yes|no,yes
29,a photo of dog and stop sign; stop sign is left to dog,4,is the stop sign left to or right to the dog?,left to|right to|in front of|behind,left to
30,"A dignified beaver wearing glasses, a vest, and colorful neck tie. He stands in a library.",0,is this a beaver?,yes|no,yes
30,"A dignified beaver wearing glasses, a vest, and colorful neck tie. He stands in a library.",1,what animal is in the picture?,beaver|squirrel|raccoon|otter,beaver
30,"A dignified beaver wearing glasses, a vest, and colorful neck tie. He stands in a library.",2,is the beaver wearing glasses?,yes|no,yes
30,"A dignified beaver wearing glasses, a vest, and colorful neck tie. He stands in a library.",3,is the beaver wearing a vest?,yes|no,yes
30,"A dignified beaver wearing glasses, a vest, and colorful neck tie. He stands in a library.",4,is the beaver wearing a neck tie?,yes|no,yes
30,"A dignified beaver wearing glasses, a vest, and colorful neck tie. He stands in a library.",5,what type of tie is the beaver wearing?,neck tie|bow tie|ascot|cravat,neck tie
30,"A dignified beaver wearing glasses, a vest, and colorful neck tie. He stands in a library.",6,is this a library?,yes|no,yes
30,"A dignified beaver wearing glasses, a vest, and colorful neck tie. He stands in a library.",7,is this a library or a bookstore?,library|bookstore|cafe|museum,library
30,"A dignified beaver wearing glasses, a vest, and colorful neck tie. He stands in a library.",8,is the neck tie colorful?,yes|no,yes
30,"A dignified beaver wearing glasses, a vest, and colorful neck tie. He stands in a library.",9,what is the color of the neck tie?,colorful|black|white|gray,colorful
30,"A dignified beaver wearing glasses, a vest, and colorful neck tie. He stands in a library.",10,is the beaver dignified?,yes|no,yes
31,a map of Italy,0,is this a map?,yes|no,yes
31,a map of Italy,1,is this a map of Italy?,yes|no,yes
31,a map of Italy,2,what country is shown on the map?,Italy|France|Spain|Germany,Italy
32,a pair of glasses in front of a computer monitor,0,are there glasses?,yes|no,yes
32,a pair of glasses in front of a computer monitor,1,what type of eyewear is this?,glasses|sunglasses|contact lenses|goggles,glasses
32,a pair of glasses in front of a computer monitor,2,is there a computer monitor?,yes|no,yes
32,a pair of glasses in front of a computer monitor,3,what type of device is this?,computer monitor|television|laptop|tablet,computer monitor
32,a pair of glasses in front of a computer monitor,4,are the glasses in front of the computer monitor?,yes|no,yes
32,a pair of glasses in front of a computer monitor,5,are the glasses in front of or behind the computer monitor?,in front of|behind|next to|on top of,in front of
33,an ostrich standing in front of a couch,0,is there an ostrich?,yes|no,yes
33,an ostrich standing in front of a couch,1,is there a couch?,yes|no,yes
33,an ostrich standing in front of a couch,2,is the ostrich standing in front of the couch?,yes|no,yes
34,a photo of bed and human; human is right to bed,0,is there a bed?,yes|no,yes
34,a photo of bed and human; human is right to bed,1,is there a human?,yes|no,yes
34,a photo of bed and human; human is right to bed,2,who is right to the bed?,human|animal|robot|alien,human
34,a photo of bed and human; human is right to bed,3,is the human right to the bed?,yes|no,yes
34,a photo of bed and human; human is right to bed,4,is the human right to the bed or left to the bed?,right to bed|left to bed|above bed|below bed,right to bed
35,"A car playing with a soccer player, digital art.",0,is there a car?,yes|no,yes
35,"A car playing with a soccer player, digital art.",1,what type of vehicle is this?,car|truck|motorcycle|bicycle,car
35,"A car playing with a soccer player, digital art.",2,is there a soccer player?,yes|no,yes
35,"A car playing with a soccer player, digital art.",3,who is playing with the car?,soccer player|basketball player|tennis player|golfer,soccer player
35,"A car playing with a soccer player, digital art.",4,are the car and soccer player playing?,yes|no,yes
35,"A car playing with a soccer player, digital art.",5,is this digital art?,yes|no,yes
35,"A car playing with a soccer player, digital art.",6,"is this digital art, a painting, or a photograph?",digital art|painting|photograph|sculpture,digital art
36,a mountain with a cloud hanging over it,0,is there a mountain?,yes|no,yes
36,a mountain with a cloud hanging over it,1,is there a cloud?,yes|no,yes
36,a mountain with a cloud hanging over it,2,is the cloud hanging over the mountain?,yes|no,yes
37,an espresso machine that makes coffee.,0,is there an espresso machine?,yes|no,yes
37,an espresso machine that makes coffee.,1,what type of machine is this?,espresso machine|blender|toaster|juicer,espresso machine
37,an espresso machine that makes coffee.,2,does the espresso machine make coffee?,yes|no,yes
37,an espresso machine that makes coffee.,3,what does the espresso machine make?,coffee|tea|juice|smoothie,coffee
37,an espresso machine that makes coffee.,4,does the espresso machine make coffee?,yes|no,yes
38,The sun behind a skyscraper. painting in the style of Hokusai.,0,is there a sun?,yes|no,yes
38,The sun behind a skyscraper. painting in the style of Hokusai.,1,is there a skyscraper?,yes|no,yes
38,The sun behind a skyscraper. painting in the style of Hokusai.,2,is this a painting?,yes|no,yes
38,The sun behind a skyscraper. painting in the style of Hokusai.,3,"is this a painting, a photograph, or a sculpture?",painting|photograph|sculpture|drawing,painting
38,The sun behind a skyscraper. painting in the style of Hokusai.,4,is this in the style of Hokusai?,yes|no,yes
38,The sun behind a skyscraper. painting in the style of Hokusai.,5,"is this in the style of Hokusai, Van Gogh, Picasso, or Monet?",Hokusai|Van Gogh|Picasso|Monet,Hokusai
39,red apples on a tree with green leaves,0,are there apples on the tree?,yes|no,yes
39,red apples on a tree with green leaves,1,what fruit is on the tree?,apples|oranges|bananas|pears,apples
39,red apples on a tree with green leaves,2,is this a tree?,yes|no,yes
39,red apples on a tree with green leaves,3,what type of plant is this?,tree|flower|bush|grass,tree
39,red apples on a tree with green leaves,4,are there leaves on the tree?,yes|no,yes
39,red apples on a tree with green leaves,5,what is on the tree?,leaves|branches|roots|flowers,leaves
39,red apples on a tree with green leaves,6,are the apples red?,yes|no,yes
39,red apples on a tree with green leaves,7,what color are the apples?,red|green|yellow|orange,red
39,red apples on a tree with green leaves,8,are the leaves green?,yes|no,yes
39,red apples on a tree with green leaves,9,what color are the leaves?,green|red|yellow|orange,green
40,An assortment of fruits and vegetable all set together,0,are there fruits?,yes|no,yes
40,An assortment of fruits and vegetable all set together,1,what type of food is in the picture?,fruits|vegetables|meat|bread,fruits
40,An assortment of fruits and vegetable all set together,2,are there vegetables?,yes|no,yes
40,An assortment of fruits and vegetable all set together,3,what type of food is in the picture?,fruits|vegetables|meat|bread,vegetables
40,An assortment of fruits and vegetable all set together,4,is this an assortment?,yes|no,yes
40,An assortment of fruits and vegetable all set together,5,are the fruits and vegetables arranged together?,yes|no,yes
40,An assortment of fruits and vegetable all set together,6,are the fruits and vegetables set together?,yes|no,yes
41,People walking down a city sidewalk showing one with headphones.,0,are there people walking down the sidewalk?,yes|no,yes
41,People walking down a city sidewalk showing one with headphones.,1,is there a sidewalk?,yes|no,yes
41,People walking down a city sidewalk showing one with headphones.,2,what type of path is this?,sidewalk|road|trail|bridge,sidewalk
41,People walking down a city sidewalk showing one with headphones.,3,is there someone wearing headphones?,yes|no,yes
41,People walking down a city sidewalk showing one with headphones.,4,who is wearing headphones?,person 1|person 2|person 3|person 4,person 1
41,People walking down a city sidewalk showing one with headphones.,5,are the people walking?,yes|no,yes
41,People walking down a city sidewalk showing one with headphones.,6,is someone showing something?,yes|no,yes
41,People walking down a city sidewalk showing one with headphones.,7,who is showing something?,person 1|person 2|person 3|person 4,person 1
42,A little boy kicks a soccer ball surrounded by other youth soccer players.,0,is this a boy?,yes|no,yes
42,A little boy kicks a soccer ball surrounded by other youth soccer players.,1,who is kicking the soccer ball?,boy|girl|man|woman,boy
42,A little boy kicks a soccer ball surrounded by other youth soccer players.,2,is there a soccer ball?,yes|no,yes
42,A little boy kicks a soccer ball surrounded by other youth soccer players.,3,what is being kicked?,soccer ball|basketball|football|tennis ball,soccer ball
42,A little boy kicks a soccer ball surrounded by other youth soccer players.,4,are there youth soccer players?,yes|no,yes
42,A little boy kicks a soccer ball surrounded by other youth soccer players.,5,is the boy little?,yes|no,yes
42,A little boy kicks a soccer ball surrounded by other youth soccer players.,6,is the boy little or big?,little|big|tall|short,little
42,A little boy kicks a soccer ball surrounded by other youth soccer players.,7,are there other youth soccer players?,yes|no,yes
43,man with a tennis racket,0,is this a man?,yes|no,yes
43,man with a tennis racket,1,what is the person holding?,tennis racket|baseball bat|golf club|hockey stick,tennis racket
43,man with a tennis racket,2,is there a tennis racket?,yes|no,yes
43,man with a tennis racket,3,what sports equipment is in the picture?,tennis racket|basketball|soccer ball|volleyball,tennis racket
44,A baseball player running to a base during a game at night.,0,is there a baseball player?,yes|no,yes
44,A baseball player running to a base during a game at night.,1,who is running to a base?,baseball player|soccer player|basketball player|tennis player,baseball player
44,A baseball player running to a base during a game at night.,2,is there a base?,yes|no,yes
44,A baseball player running to a base during a game at night.,3,what is the baseball player running to?,base|ball|home plate|dugout,base
44,A baseball player running to a base during a game at night.,4,is the baseball player running?,yes|no,yes
44,A baseball player running to a base during a game at night.,5,is this a game?,yes|no,yes
44,A baseball player running to a base during a game at night.,6,is this a game or a practice?,game|practice|tournament|exhibition,game
44,A baseball player running to a base during a game at night.,7,is it night time?,yes|no,yes
44,A baseball player running to a base during a game at night.,8,is it night time or day time?,night|day|morning|evening,night
45,a group of beginner snow skiers having class,0,is there a group?,yes|no,yes
45,a group of beginner snow skiers having class,1,is there a group of people?,yes|no,yes
45,a group of beginner snow skiers having class,2,are there snow skiers?,yes|no,yes
45,a group of beginner snow skiers having class,3,what are the people doing?,snow skiing|ice skating|snowboarding|sledding,snow skiing
45,a group of beginner snow skiers having class,4,are they having a class?,yes|no,yes
45,a group of beginner snow skiers having class,5,what are they having?,class|meeting|party|competition,class
45,a group of beginner snow skiers having class,6,are they beginner snow skiers?,yes|no,yes
45,a group of beginner snow skiers having class,7,what level are they?,beginner|intermediate|advanced|expert,beginner
46,A group of surfers are carrying their surf boards into the ocean.,0,are there surfers?,yes|no,yes
46,A group of surfers are carrying their surf boards into the ocean.,1,who is carrying their surf boards into the ocean?,surfers|swimmers|divers|sailors,surfers
46,A group of surfers are carrying their surf boards into the ocean.,2,are there surf boards?,yes|no,yes
46,A group of surfers are carrying their surf boards into the ocean.,3,what are the surfers carrying?,surf boards|skateboards|snowboards|paddle boards,surf boards
46,A group of surfers are carrying their surf boards into the ocean.,4,is this the ocean?,yes|no,yes
46,A group of surfers are carrying their surf boards into the ocean.,5,what body of water is this?,ocean|lake|river|pool,ocean
46,A group of surfers are carrying their surf boards into the ocean.,6,are the surfers carrying their surf boards?,yes|no,yes
46,A group of surfers are carrying their surf boards into the ocean.,7,is there a group of surfers?,yes|no,yes
47,Zebras eat hay in black and white.,0,are there zebras?,yes|no,yes
47,Zebras eat hay in black and white.,1,is there hay?,yes|no,yes
47,Zebras eat hay in black and white.,2,do zebras eat hay?,yes|no,yes
47,Zebras eat hay in black and white.,3,are zebras black and white?,yes|no,yes
47,Zebras eat hay in black and white.,4,what colors are zebras?,black and white|brown and white|gray and white|orange and white,black and white
48,a woman in a black jacket and two pizzas,0,is there a woman?,yes|no,yes
48,a woman in a black jacket and two pizzas,1,who is in the picture?,woman|man|boy|girl,woman
48,a woman in a black jacket and two pizzas,2,is the woman wearing a black jacket?,yes|no,yes
48,a woman in a black jacket and two pizzas,3,what is the woman wearing?,jacket|t-shirt|sweater|dress,jacket
48,a woman in a black jacket and two pizzas,4,are there pizzas?,yes|no,yes
48,a woman in a black jacket and two pizzas,5,what food is in the picture?,pizzas|burgers|sandwiches|salads,pizzas
48,a woman in a black jacket and two pizzas,6,are there two pizzas?,yes|no,yes
49,a dog is laying with a remote controller,0,is there a dog?,yes|no,yes
49,a dog is laying with a remote controller,1,is there a remote controller?,yes|no,yes
